iter	RMSE
0	0.2647778291
1	0.2625366661
2	0.2607617349
3	0.2588575101
4	0.2567704839
5	0.25493171
6	0.2533140706
7	0.2512611996
8	0.2496684411
9	0.2481051882
10	0.2465793159
11	0.245237486
12	0.2437807939
13	0.2422003064
14	0.2404843145
15	0.2387932734
16	0.2372990841
17	0.2355233005
18	0.2341462239
19	0.2323628825
20	0.2308422225
21	0.229222695
22	0.2278018061
23	0.2263645989
24	0.2252210559
25	0.2243339353
26	0.2229478688
27	0.2213221288
28	0.21999994
29	0.2185593109
30	0.2174449594
31	0.2163875607
32	0.2153463111
33	0.2142150882
34	0.2129035499
35	0.2118951579
36	0.2107992936
37	0.2098395323
38	0.208700889
39	0.2076959926
40	0.2068590947
41	0.2060391156
42	0.2051031272
43	0.2042783249
44	0.2028561543
45	0.202033463
46	0.2013158676
47	0.2003201842
48	0.1995211388
49	0.1986149916
50	0.1977594483
51	0.1967015616
52	0.1957822152
53	0.194974932
54	0.1943516096
55	0.1936422101
56	0.1929594158
57	0.1923944088
58	0.1916407418
59	0.1908971416
60	0.1900881057
61	0.189412685
62	0.1887382203
63	0.1878230134
64	0.1871723825
65	0.1865381805
66	0.1855206244
67	0.1846218339
68	0.1838211997
69	0.1831503431
70	0.182514564
71	0.1817907624
72	0.1813237049
73	0.1807027775
74	0.1799968398
75	0.1791904592
76	0.1786301855
77	0.1780923382
78	0.1775029726
79	0.176875029
80	0.1762546377
81	0.1755769767
82	0.1751388282
83	0.1744418254
84	0.1739682464
85	0.1732839228
86	0.1727756479
87	0.172323434
88	0.1713112796
89	0.1708177078
90	0.1704542095
91	0.1700430617
92	0.1694581798
93	0.1689286439
94	0.1683174042
95	0.1674395769
96	0.1668914876
97	0.1662310681
98	0.165855815
99	0.1652608721
100	0.1646687905
101	0.1642416673
102	0.1636744429
103	0.1631860452
104	0.1627530112
105	0.1622758806
106	0.1617314328
107	0.1611606106
108	0.1607269664
109	0.1601065573
110	0.1597462464
111	0.1591779326
112	0.1586313667
113	0.1580237371
114	0.1572240426
115	0.1566915455
116	0.1562537052
117	0.1559189704
118	0.1555788383
119	0.1549111141
120	0.154647526
121	0.1541403962
122	0.1537423204
123	0.1533527529
124	0.1527161687
125	0.1523263942
126	0.1519589656
127	0.1516667671
128	0.1510138868
129	0.1506484542
130	0.14999259
131	0.1492379661
132	0.1488665167
133	0.1486985914
134	0.1483977239
135	0.1480216688
136	0.1476012186
137	0.1474444186
138	0.1469210798
139	0.1466046981
140	0.1464489002
141	0.146097707
142	0.1459068636
143	0.1455353842
144	0.145314646
145	0.1451964399
146	0.1447322474
147	0.1443958096
148	0.1440862137
149	0.1437810617
150	0.1435439832
151	0.1431405266
152	0.1428098638
153	0.142627695
154	0.1422660655
155	0.1420352703
156	0.1416683485
157	0.1413351043
158	0.140884588
159	0.1406171571
160	0.1403011779
161	0.1402175336
162	0.1398177278
163	0.1395400372
164	0.139092903
165	0.1387777016
166	0.1386119579
167	0.1381246001
168	0.1378938134
169	0.1377003595
170	0.1371715578
171	0.1367497485
172	0.1362334024
173	0.1360616779
174	0.1357676982
175	0.1353106272
176	0.1350331157
177	0.1348797203
178	0.1347100783
179	0.134380174
180	0.133929064
181	0.1338330935
182	0.1335874306
183	0.1331550401
184	0.1329029389
185	0.1326520234
186	0.1325825834
187	0.1322488768
188	0.1319673022
189	0.1317049082
190	0.1316412527
191	0.1315414499
192	0.1312827146
193	0.131047973
194	0.1308577457
195	0.1306940302
196	0.1304404202
197	0.1303039299
198	0.1301092283
199	0.129648185
200	0.1293224977
201	0.1291470358
202	0.1290254303
203	0.1286335584
204	0.1283181977
205	0.1280508566
206	0.1278001928
207	0.1275650786
208	0.127303317
209	0.1270211325
210	0.1268658786
211	0.126739142
212	0.1265120143
213	0.1263165947
214	0.125937097
215	0.1256565024
216	0.1253627035
217	0.1252192143
218	0.1250107515
219	0.1246489444
220	0.1243700915
221	0.12412894
222	0.1240106913
223	0.1237177957
224	0.1235330843
225	0.123253408
226	0.1231524201
227	0.1228749935
228	0.1225425984
229	0.1222201358
230	0.1218697042
231	0.1216750004
232	0.121578152
233	0.1212648256
234	0.1210453476
235	0.1208037511
236	0.1205342874
237	0.1203143706
238	0.1199890503
239	0.1195911357
240	0.1192761501
241	0.1192109145
242	0.1189357185
243	0.118532932
244	0.1183358385
245	0.1181591743
246	0.1180367403
247	0.1176880879
248	0.1175339209
249	0.1171490556
250	0.1169129522
251	0.1166719976
252	0.1163731935
253	0.1160484682
254	0.1158157348
255	0.1156871271
256	0.1155384546
257	0.1153627788
258	0.1150929684
259	0.1149102187
260	0.1145163158
261	0.1143590046
262	0.1141398226
263	0.1136732401
264	0.113427152
265	0.1130787689
266	0.1130210729
267	0.1129304548
268	0.1128254711
269	0.1125603657
270	0.1123603115
271	0.1122640331
272	0.1120090418
273	0.1117871489
274	0.1114485035
275	0.1112506827
276	0.1109102768
277	0.1107922588
278	0.1106692029
279	0.1102740698
280	0.1100870554
281	0.1098827538
282	0.1094892142
283	0.1093698985
284	0.1092727224
285	0.1090275638
286	0.1089109565
287	0.1086467095
288	0.1082887575
289	0.1080596079
290	0.1077444034
291	0.1073713025
292	0.1070566404
293	0.1067482778
294	0.1066161722
295	0.1064497357
296	0.1062736871
297	0.1061523291
298	0.1059982188
299	0.1055697437
300	0.1054309777
301	0.1050481277
302	0.1049232319
303	0.1047415053
304	0.1045339791
305	0.1043381907
306	0.1041530867
307	0.1038451107
308	0.1035807312
309	0.1032668624
310	0.1030251869
311	0.1029029886
312	0.1027489073
313	0.1025361815
314	0.102276046
315	0.1022152521
316	0.1020024482
317	0.1017489274
318	0.1016503254
319	0.1013798809
320	0.1011648274
321	0.1008362754
322	0.1007376385
323	0.1005026234
324	0.1002104444
325	0.09999777243
326	0.09974016598
327	0.09958251847
328	0.09953659806
329	0.09925569249
330	0.09900356083
331	0.09892842419
332	0.09866474095
333	0.0985843741
334	0.09826152351
335	0.09807801461
336	0.09790465512
337	0.09779728911
338	0.09753291803
339	0.09739420297
340	0.09716617309
341	0.09696264611
342	0.09681252674
343	0.09657361726
344	0.09643163652
345	0.09624540504
346	0.09614970661
347	0.09593505363
348	0.09588800216
349	0.09580605203
350	0.09554007114
351	0.09538394232
352	0.095108151
353	0.09486494602
354	0.09465021751
355	0.09458980666
356	0.09440301492
357	0.09422356166
358	0.09413741375
359	0.09397170053
360	0.09390123537
361	0.09356923734
362	0.09319247126
363	0.09293552742
364	0.09282096974
365	0.09268106681
366	0.09248638173
367	0.09223434258
368	0.09217964642
369	0.09194912008
370	0.09156445321
371	0.0914534861
372	0.09121455005
373	0.09089279785
374	0.09067021634
375	0.09053082478
376	0.0903649383
377	0.0902642672
378	0.09015354391
379	0.0898894225
380	0.08967684381
381	0.08958601191
382	0.08939553486
383	0.08920275611
384	0.08907645691
385	0.08890446271
386	0.0888412475
387	0.08867105275
388	0.08849114928
389	0.08819145533
390	0.08801216423
391	0.08788447921
392	0.08777396482
393	0.08769163698
394	0.08751592002
