iter	Passed	Remaining
0	65	98505
1	69	52064
2	72	36277
3	76	28715
4	80	24010
5	83	20810
6	86	18464
7	89	16748
8	92	15389
9	95	14295
10	98	13314
11	101	12562
12	104	11912
13	106	11310
14	109	10843
15	112	10407
16	117	10268
17	121	10024
18	124	9736
19	127	9446
20	130	9182
21	134	9047
22	139	8926
23	145	8920
24	148	8768
25	151	8565
26	153	8383
27	156	8205
28	160	8151
29	164	8039
30	167	7913
31	169	7784
32	171	7639
33	174	7528
34	177	7412
35	179	7309
36	183	7236
37	185	7141
38	187	7036
39	190	6950
40	194	6905
41	196	6819
42	199	6748
43	201	6680
44	204	6601
45	207	6543
46	209	6483
47	212	6418
48	215	6372
49	218	6322
50	220	6264
51	223	6212
52	225	6162
53	228	6105
54	230	6059
55	233	6010
56	235	5969
57	238	5921
58	240	5871
59	242	5823
60	244	5772
61	246	5728
62	249	5693
63	252	5669
64	256	5656
65	258	5620
66	261	5583
67	263	5552
68	266	5518
69	268	5478
70	270	5437
71	272	5404
72	274	5369
73	276	5334
74	278	5300
75	281	5272
76	283	5242
77	285	5213
78	288	5184
79	290	5154
80	292	5126
81	294	5100
82	297	5079
83	299	5054
84	302	5028
85	304	5005
86	307	4986
87	309	4962
88	311	4938
89	314	4921
90	316	4899
91	318	4880
92	321	4859
93	324	4848
94	326	4830
95	329	4811
96	331	4798
97	334	4779
98	336	4760
99	338	4745
100	341	4727
101	343	4709
102	346	4695
103	348	4677
104	350	4655
105	352	4639
106	355	4627
107	357	4612
108	360	4594
109	362	4586
110	366	4580
111	368	4566
112	370	4552
113	373	4536
114	375	4521
115	378	4511
116	380	4499
117	383	4486
118	387	4500
119	390	4487
120	392	4473
121	395	4463
122	397	4451
123	400	4439
124	402	4428
125	405	4422
126	409	4422
127	412	4417
128	414	4410
129	417	4399
130	419	4388
131	422	4382
132	425	4373
133	429	4373
134	431	4366
135	434	4356
136	436	4345
137	439	4340
138	442	4334
139	446	4339
140	449	4332
141	452	4322
142	454	4312
143	457	4306
144	461	4308
145	463	4301
146	466	4296
147	469	4287
148	472	4281
149	474	4274
150	479	4287
151	482	4280
152	485	4272
153	488	4269
154	493	4279
155	496	4275
156	498	4268
157	501	4258
158	505	4260
159	509	4262
160	512	4259
161	514	4252
162	517	4244
163	520	4238
164	523	4234
165	526	4230
166	529	4227
167	532	4219
168	534	4211
169	538	4213
170	542	4214
171	546	4218
172	549	4216
173	553	4215
174	556	4216
175	559	4212
176	562	4205
177	565	4197
178	568	4196
179	572	4196
180	575	4191
181	578	4185
182	580	4179
183	583	4172
184	586	4166
185	588	4157
186	590	4147
187	593	4143
188	596	4135
189	598	4127
190	601	4120
191	603	4113
192	606	4109
193	610	4112
194	613	4108
195	616	4100
196	618	4093
197	621	4084
198	624	4081
199	627	4077
200	629	4069
201	631	4060
202	634	4055
203	637	4048
204	641	4052
205	644	4048
206	646	4040
207	649	4034
208	652	4029
209	655	4026
210	658	4021
211	660	4014
212	663	4007
213	665	4000
214	668	3996
215	671	3989
216	673	3981
217	675	3974
218	678	3968
219	680	3960
220	683	3953
221	685	3945
222	687	3937
223	690	3931
224	692	3924
225	694	3916
226	697	3909
227	699	3903
228	701	3895
229	704	3888
230	706	3882
231	709	3875
232	711	3866
233	713	3860
234	715	3853
235	718	3845
236	720	3838
237	723	3834
238	725	3828
239	728	3822
240	730	3815
241	732	3808
242	734	3801
243	737	3794
244	739	3790
245	742	3782
246	744	3776
247	746	3769
248	749	3763
249	751	3757
250	754	3752
251	756	3748
252	759	3742
253	761	3736
254	764	3731
255	766	3726
256	769	3720
257	772	3719
258	775	3713
259	777	3707
260	779	3701
261	782	3697
262	784	3690
263	788	3689
264	790	3686
265	793	3681
266	796	3678
267	799	3675
268	802	3670
269	804	3665
270	806	3659
271	809	3652
272	811	3646
273	813	3641
274	816	3635
275	818	3629
276	820	3624
277	823	3618
278	825	3613
279	827	3606
280	830	3602
281	832	3596
282	835	3591
283	837	3585
284	839	3580
285	842	3574
286	844	3568
287	846	3564
288	849	3559
289	851	3553
290	854	3548
291	856	3544
292	859	3538
293	861	3533
294	863	3529
295	866	3523
296	868	3517
297	871	3514
298	873	3509
299	876	3504
300	878	3499
301	881	3495
302	883	3490
303	886	3485
304	888	3481
305	890	3476
306	893	3470
307	895	3465
308	898	3462
309	900	3457
310	903	3455
311	906	3451
312	908	3446
313	911	3441
314	915	3442
315	919	3446
316	923	3446
317	926	3443
318	929	3442
319	933	3440
320	936	3440
321	939	3436
322	941	3432
323	944	3428
324	947	3426
325	950	3423
326	955	3426
327	958	3423
328	960	3418
329	963	3415
330	966	3411
331	970	3413
332	973	3410
333	975	3406
334	978	3403
335	981	3400
336	985	3402
337	988	3399
338	991	3395
339	994	3393
340	997	3391
341	1000	3388
342	1003	3385
343	1006	3383
344	1009	3378
345	1011	3375
346	1014	3372
347	1018	3371
348	1022	3370
349	1024	3365
350	1026	3361
351	1030	3359
352	1033	3359
353	1037	3357
354	1040	3354
355	1042	3350
356	1045	3346
357	1048	3344
358	1051	3343
359	1054	3340
360	1057	3335
361	1060	3334
362	1064	3333
363	1068	3334
364	1071	3332
365	1074	3330
366	1077	3327
367	1081	3325
368	1085	3326
369	1088	3323
370	1090	3318
371	1093	3314
372	1095	3311
373	1098	3308
374	1101	3305
375	1104	3303
376	1107	3298
377	1109	3294
378	1113	3292
379	1116	3289
380	1118	3286
381	1122	3284
382	1125	3282
383	1129	3282
384	1133	3282
385	1137	3283
386	1140	3279
387	1144	3278
388	1147	3277
389	1150	3274
390	1153	3272
391	1157	3272
392	1161	3271
393	1165	3272
394	1169	3270
395	1171	3266
396	1174	3263
397	1177	3261
398	1181	3261
399	1184	3258
400	1187	3254
401	1190	3251
402	1195	3252
403	1199	3253
404	1203	3254
405	1206	3251
406	1210	3252
407	1215	3253
408	1219	3252
409	1223	3251
410	1226	3250
411	1232	3253
412	1235	3250
413	1237	3246
414	1240	3243
415	1243	3241
416	1247	3239
417	1250	3236
418	1252	3232
419	1255	3228
420	1258	3225
421	1261	3222
422	1263	3218
423	1266	3215
424	1269	3210
425	1271	3206
426	1274	3203
427	1278	3202
428	1281	3199
429	1284	3195
430	1286	3191
431	1289	3188
432	1292	3184
433	1297	3186
434	1300	3182
435	1302	3179
436	1305	3176
437	1309	3176
438	1313	3174
439	1316	3171
440	1318	3166
441	1321	3164
442	1326	3164
443	1331	3166
444	1334	3164
445	1338	3162
446	1341	3160
447	1344	3158
448	1347	3154
449	1350	3150
450	1352	3146
451	1355	3142
452	1359	3141
453	1361	3137
454	1364	3133
455	1366	3129
456	1369	3125
457	1372	3121
458	1375	3118
459	1378	3117
460	1381	3113
461	1384	3109
462	1386	3105
463	1389	3103
464	1393	3100
465	1396	3098
466	1398	3094
467	1401	3090
468	1404	3087
469	1407	3084
470	1410	3081
471	1413	3078
472	1415	3074
473	1418	3070
474	1421	3067
475	1424	3064
476	1428	3064
477	1431	3060
478	1434	3057
479	1437	3053
480	1439	3050
481	1444	3050
482	1447	3047
483	1449	3043
484	1452	3039
485	1455	3037
486	1458	3034
487	1461	3031
488	1465	3029
489	1468	3026
490	1471	3024
491	1474	3020
492	1477	3017
493	1479	3013
494	1481	3008
495	1484	3004
496	1487	3001
497	1490	2998
498	1493	2995
499	1495	2991
500	1498	2987
501	1501	2984
502	1504	2981
503	1507	2978
504	1510	2975
505	1512	2971
506	1515	2967
507	1518	2964
508	1521	2961
509	1524	2958
510	1527	2955
511	1531	2954
512	1534	2952
513	1538	2951
514	1541	2949
515	1544	2945
516	1547	2942
517	1550	2939
518	1553	2936
519	1557	2934
520	1559	2930
521	1562	2926
522	1564	2922
523	1567	2919
524	1571	2919
525	1577	2920
526	1580	2917
527	1583	2915
528	1586	2912
529	1590	2910
530	1593	2907
531	1596	2904
532	1598	2900
533	1601	2896
534	1604	2893
535	1608	2892
536	1610	2888
537	1613	2884
538	1616	2881
539	1618	2877
540	1621	2874
541	1624	2871
542	1627	2867
543	1629	2863
544	1632	2859
545	1634	2856
546	1639	2856
547	1642	2853
548	1644	2849
549	1647	2845
550	1651	2843
551	1653	2840
552	1656	2836
553	1658	2832
554	1661	2828
555	1663	2824
556	1666	2820
557	1668	2817
558	1671	2813
559	1674	2810
560	1676	2806
561	1679	2802
562	1682	2799
563	1684	2796
564	1687	2792
565	1690	2789
566	1692	2785
567	1695	2781
568	1698	2778
569	1700	2775
570	1703	2771
571	1705	2767
572	1708	2764
573	1711	2760
574	1713	2757
575	1716	2754
576	1721	2753
577	1724	2751
578	1727	2748
579	1730	2745
580	1733	2742
581	1736	2739
582	1739	2736
583	1742	2732
584	1744	2728
585	1747	2725
586	1750	2723
587	1754	2720
588	1757	2717
589	1760	2714
590	1763	2712
591	1766	2709
592	1769	2705
593	1772	2702
594	1775	2699
595	1779	2699
596	1783	2698
597	1786	2694
598	1789	2691
599	1791	2687
600	1794	2683
601	1796	2680
602	1800	2677
603	1803	2675
604	1805	2671
605	1808	2667
606	1810	2664
607	1813	2660
608	1815	2656
609	1817	2652
610	1820	2648
611	1823	2646
612	1826	2642
613	1829	2639
614	1831	2635
615	1834	2632
616	1837	2629
617	1839	2625
618	1841	2621
619	1844	2618
620	1847	2615
621	1850	2611
622	1853	2608
623	1855	2605
624	1858	2601
625	1860	2597
626	1863	2594
627	1866	2591
628	1869	2588
629	1871	2584
630	1874	2581
631	1877	2578
632	1880	2575
633	1883	2572
634	1887	2571
635	1890	2567
636	1892	2564
637	1895	2561
638	1898	2558
639	1901	2555
640	1905	2553
641	1908	2550
642	1911	2547
643	1914	2544
644	1918	2542
645	1921	2539
646	1923	2536
647	1926	2532
648	1929	2530
649	1932	2527
650	1935	2524
651	1938	2521
652	1941	2517
653	1944	2515
654	1947	2512
655	1950	2509
656	1953	2506
657	1955	2502
658	1959	2500
659	1962	2497
660	1965	2494
661	1968	2491
662	1971	2488
663	1974	2486
664	1977	2483
665	1980	2479
666	1983	2476
667	1986	2474
668	1989	2470
669	1994	2470
670	1996	2467
671	2000	2464
672	2003	2461
673	2005	2458
674	2008	2455
675	2011	2451
676	2014	2448
677	2017	2445
678	2019	2442
679	2023	2439
680	2027	2437
681	2032	2437
682	2036	2435
683	2038	2431
684	2041	2429
685	2044	2426
686	2048	2423
687	2051	2420
688	2053	2417
689	2056	2413
690	2059	2410
691	2062	2407
692	2065	2404
693	2067	2401
694	2070	2397
695	2072	2394
696	2076	2391
697	2081	2391
698	2085	2389
699	2088	2386
700	2091	2383
701	2094	2380
702	2097	2377
703	2100	2374
704	2102	2371
705	2105	2368
706	2108	2365
707	2111	2362
708	2114	2359
709	2117	2356
710	2120	2352
711	2123	2349
712	2126	2347
713	2130	2345
714	2134	2343
715	2137	2340
716	2140	2337
717	2143	2334
718	2146	2331
719	2149	2328
720	2152	2325
721	2155	2322
722	2159	2320
723	2162	2318
724	2165	2315
725	2168	2311
726	2170	2308
727	2173	2304
728	2176	2301
729	2179	2299
730	2182	2296
731	2185	2292
732	2188	2289
733	2191	2286
734	2194	2284
735	2197	2281
736	2200	2277
737	2202	2274
738	2205	2271
739	2208	2268
740	2210	2264
741	2213	2261
742	2216	2257
743	2218	2254
744	2220	2250
745	2223	2247
746	2225	2243
747	2228	2240
748	2231	2237
749	2233	2233
750	2236	2230
751	2238	2226
752	2241	2223
753	2244	2220
754	2247	2217
755	2249	2214
756	2252	2210
757	2255	2207
758	2257	2204
759	2260	2200
760	2262	2197
761	2265	2193
762	2267	2190
763	2270	2187
764	2272	2183
765	2275	2180
766	2278	2177
767	2280	2173
768	2283	2170
769	2286	2167
770	2289	2165
771	2292	2161
772	2295	2159
773	2298	2155
774	2300	2152
775	2303	2149
776	2306	2146
777	2308	2142
778	2311	2139
779	2313	2135
780	2316	2132
781	2319	2129
782	2321	2125
783	2324	2122
784	2327	2119
785	2329	2116
786	2332	2112
787	2334	2109
788	2337	2106
789	2339	2102
790	2341	2099
791	2344	2096
792	2347	2092
793	2349	2089
794	2352	2086
795	2355	2082
796	2357	2079
797	2360	2076
798	2362	2072
799	2365	2069
800	2367	2066
801	2370	2062
802	2372	2059
803	2375	2056
804	2378	2053
805	2380	2049
