,0
cumsum_range,178654.34118175507
spectral_entropy,78436.20206403732
ref_log_n,40394.55598497391
ref_skew,37555.50736999512
rank_range_ratio,32758.87260246277
rollmean16_cov_vs_ref,29256.35654258728
ref_kurt,29089.06137943268
spectral_centroid,28519.091818332672
ref_autocorr,27852.413676261902
rank_range_vs_ref,24784.94859600067
rank_range,21832.985376358032
rollmean16_max_vs_ref,20408.494193553925
diff2_cov_vs_ref,19848.96209859848
diff_cov_vs_ref,19529.181633472443
diff2_cov,19388.585404396057
rollmean16_max,19318.821875572205
cumsum_max_vs_ref,18307.50774383545
rank_centered_range_ratio,17903.878052711487
sign_cov_vs_ref,17534.9595580101
rollmean16_max_ratio,17438.61850976944
cumsum_min_vs_ref,17186.463518619537
rollmean16_min_ratio,15786.304414749146
rollmean16_min_vs_ref,15225.661301612854
cp_rank_scanpeak,13456.466658592224
cumsum_max_ratio,13282.617738723755
rollmean16_min,12549.075855255127
cumsum_q25_vs_ref,12505.912748336792
cp_mean_scanpeak,12117.34860944748
z_min_vs_ref,11698.842414855957
cumsum_min_ratio,11311.319420814514
diff_min,11264.478398799896
diff2_median_vs_ref,11110.218683242798
cumsum_range_vs_ref,11041.450345993042
cumsum_max,11026.80932044983
rollmean16_range,10906.321577072144
rollmean16_range_vs_ref,10709.981502056122
rollstd16_max,10650.305369377136
diff2_max,10532.845388412476
cumsum_q75_vs_ref,10485.938999176025
cp_pooled_peak,10340.768785476685
cumsum_cov_vs_ref,10120.125771045685
diff_range_ratio,10069.502964496613
cumsum_median_vs_ref,9759.40187883377
rollstd16_max_ratio,9544.018657684326
rollstd16_max_vs_ref,9518.581886768341
cumsum_q75_ratio,9464.029438972473
cp_var_scan,9379.347593307495
rollstd16_skew_w200,9226.80505657196
diff2_min_vs_ref,9088.300468921661
cumsum_min,8652.366596698761
diff_max,8290.834245204926
diff2_max_vs_ref,8257.44485092163
diff_max_vs_ref,8213.453278064728
diff_min_vs_ref,8142.1077127456665
rollmean16_range_ratio,8111.205856800079
cumsum_std_w20_vs_ref,7891.653180599213
diff2_min,7796.389205932617
z_max_vs_ref,7679.906153678894
z_min,7585.848902225494
rollmean16_skew_ratio,7516.660583496094
