,0
cumsum_range,171735.01950263977
spectral_entropy,75361.59957885742
cal_ar5_var_scan,43004.86439990997
ref_skew,36505.37087583542
ref_log_n,35308.81727218628
spectral_centroid,29149.23416686058
ref_kurt,27688.081302642822
rollmean16_cov_vs_ref,25408.344663143158
diff2_cov,24194.356503486633
ref_autocorr,23888.362468242645
rank_range_vs_ref,21781.333579063416
rollmean16_max,19241.619406223297
rank_range_ratio,18528.491416931152
rollmean16_max_vs_ref,18031.510896205902
rank_range,16602.842168807983
diff2_cov_vs_ref,16350.42387676239
diff_cov_vs_ref,16344.358766555786
sign_cov_vs_ref,16173.963737487793
cumsum_max_vs_ref,16141.29228067398
rollmean16_min_vs_ref,15983.924237251282
rollmean16_min_ratio,15535.6448969841
cumsum_min_vs_ref,15056.14736032486
rollmean16_max_ratio,14454.922743320465
rank_centered_range_ratio,13598.494941711426
cal_ar5_var_scanpeak,12155.120618343353
cal_ring0_scanpeak,12110.66574382782
cal_jump_scanpeak,11952.08856678009
cumsum_q25_vs_ref,11388.714401245117
cumsum_max_ratio,11205.008816719055
cumsum_q75_vs_ref,10515.946627616882
z_min_vs_ref,10485.648115158081
rollmean16_min,10475.525988578796
cal_sign_runs_scanpeak,10449.959826469421
cal_ring12_scanpeak,10022.4811835289
cumsum_max,9966.388534069061
cal_autocorr1_scanpeak,9943.25946187973
diff_min,9737.578965187073
cumsum_min_ratio,9705.198029994965
cumsum_range_vs_ref,9700.744699001312
cal_cdf0.75_scanpeak,9620.62019443512
cumsum_cov_vs_ref,9613.586646556854
cal_mean_scanpeak,9458.508308887482
rollmean16_range_vs_ref,9366.550207138062
diff2_min_vs_ref,9318.22481060028
rollstd16_skew_w200,9197.827198028564
rollstd16_max_ratio,9115.016191959381
rollmean16_range,9097.099788665771
diff2_median_vs_ref,9023.335522651672
cal_tail_scanpeak,9013.226741790771
cumsum_median_vs_ref,9008.318040370941
rollstd16_max,8952.847885131836
rollstd16_max_vs_ref,8812.14863538742
cal_cdf0.1_scanpeak,8522.548758983612
diff2_max,8503.604294776917
cal_rank_disp_scanpeak,8499.370673179626
cumsum_q75_ratio,8228.686157226562
cal_rank_scanpeak,8140.8777503967285
diff2_max_vs_ref,8091.2301297187805
cal_ar5_var_roll200,7883.506407260895
cal_cdf0.5_scanpeak,7852.454003334045
cumsum_std_w20_vs_ref,7787.091108798981
diff_max_vs_ref,7447.292001247406
cumsum_min,7392.610739707947
cal_absdz_scanpeak,7367.183443069458
cal_cdf0.25_scanpeak,7280.484755516052
cumsum_q25_ratio,7267.059907436371
diff2_min,7215.84011554718
rank_centered_range_vs_ref,7125.8393540382385
diff_min_vs_ref,7102.14432144165
cal_ar5_var_exp,7076.294816970825
abs_min_ratio,6942.805468082428
cal_cdf0.9_scanpeak,6836.632249832153
rollmean16_range_ratio,6803.021828174591
square_autocorr_ratio,6799.417197227478
cal_glr_seg_len,6561.804445266724
z_max_vs_ref,6526.178488731384
rank_centered_range,6488.733489990234
cal_ar5_var_roll50,6265.2227602005005
z_min,6182.452023506165
rollmean16_skew_ratio,6166.850556373596
logabs_autocorr_ratio,6099.969078540802
z_min_ratio,6045.864315032959
rollstd16_skew_ratio,6019.797753334045
rollmean16_median_ratio,6004.677984237671
cal_autocorr2_scanpeak,5993.533890724182
rollmean16_kurt_ratio,5949.242973327637
diff_min_ratio,5913.607370376587
spectral_lowband,5874.161022186279
diff_max,5842.546553134918
cal_ring12_frac,5814.22561788559
diff2_max_ratio,5801.046131134033
ks_stat,5579.2812621593475
diff_median_ratio,5466.879954814911
diff_median,5449.03044128418
square_autocorr,5374.50426530838
z_max_ratio,5356.922332763672
logabs_range_vs_ref,5350.944676399231
z_skew_ratio,5330.602465629578
diff_autocorr,5245.224098205566
cumsum_mean_ratio,5209.955029964447
cumsum_cov_ratio,5197.220060348511
diff2_autocorr,5187.970170497894
diff2_median_ratio,5127.093974113464
logabs_min_ratio,5107.888504981995
logabs_min_vs_ref,4985.487862110138
diff2_min_ratio,4980.530523300171
