iter	MultiRMSE
0	0.2890620972
1	0.2882481223
2	0.2874759537
3	0.2866931699
4	0.2859489392
5	0.2852369783
6	0.2845407185
7	0.2838622909
8	0.2832209731
9	0.2825858513
10	0.2819860664
11	0.2813904236
12	0.2808421694
13	0.2803021076
14	0.279785551
15	0.2792669691
16	0.2787786863
17	0.278309169
18	0.2778370022
19	0.2773855459
20	0.2769546637
21	0.2765529873
22	0.276158962
23	0.2757572051
24	0.2753858759
25	0.2750283152
26	0.2746749685
27	0.2743337452
28	0.2739936657
29	0.2736818715
30	0.273393618
31	0.2730994607
32	0.2728241628
33	0.2725372269
34	0.2722633835
35	0.2719967509
36	0.2717449141
37	0.2714959845
38	0.2712638614
39	0.2710297568
40	0.2707987704
41	0.2705940777
42	0.2703805519
43	0.2701851219
44	0.2699919966
45	0.2697954794
46	0.2696140633
47	0.2694368581
48	0.2692621293
49	0.2690998237
50	0.2689486862
51	0.2687842679
52	0.2686262488
53	0.2684679205
54	0.2683183969
55	0.2681689513
56	0.2680351382
57	0.2679048506
58	0.2677872308
59	0.267662763
60	0.2675406264
61	0.2674244538
62	0.2673012317
63	0.2671937233
64	0.2670835684
65	0.2669756235
66	0.2668690789
67	0.2667708391
68	0.2666709158
69	0.2665804345
70	0.2664800825
71	0.2663946322
72	0.266310925
73	0.2662340539
74	0.2661475237
75	0.266062532
76	0.2659814319
77	0.2658972378
78	0.2658133292
79	0.2657448723
80	0.2656799606
81	0.2656132325
82	0.2655471521
83	0.2654798787
84	0.2654135842
85	0.2653382757
86	0.2652782711
87	0.2652196247
88	0.2651607353
89	0.2651100878
90	0.265048232
91	0.264990889
92	0.264932145
93	0.2648771046
94	0.264829343
95	0.2647751002
96	0.2647254177
97	0.2646776833
98	0.2646265067
99	0.2645777635
100	0.2645263678
101	0.2644825843
102	0.2644349634
103	0.2643893938
104	0.2643483087
105	0.2643069139
106	0.2642570887
107	0.2642162132
108	0.2641720393
109	0.2641338339
110	0.2640971647
111	0.2640568136
112	0.2640113451
113	0.2639709894
114	0.2639371868
115	0.2638995966
116	0.2638632509
117	0.2638240901
118	0.2637850551
119	0.263748348
120	0.2637153861
121	0.2636853788
122	0.2636504954
123	0.2636194997
124	0.2635871314
125	0.263555997
126	0.263527862
127	0.2634897045
128	0.26346041
129	0.2634223571
130	0.2633895893
131	0.2633595988
132	0.2633294789
133	0.2633045664
134	0.2632746091
135	0.2632409351
136	0.2632115688
137	0.2631794976
138	0.2631485698
139	0.2631243103
140	0.2630870477
141	0.2630596663
142	0.2630253887
143	0.2630003838
144	0.2629669673
145	0.2629394487
146	0.2629112301
147	0.2628720867
148	0.2628422962
149	0.2628100923
150	0.2627787916
151	0.2627554795
152	0.2627306405
153	0.262704989
154	0.2626847419
155	0.2626627908
156	0.2626277771
157	0.2625936786
158	0.2625735535
159	0.2625481104
160	0.2625241473
161	0.2625049485
162	0.2624820574
163	0.2624573961
164	0.2624340704
165	0.2624031257
166	0.2623783588
167	0.2623481085
168	0.2623252837
169	0.2622975041
170	0.2622789335
171	0.2622535262
172	0.2622274128
173	0.2621983705
174	0.2621788285
175	0.2621527924
176	0.2621315209
177	0.2621149727
178	0.2621000557
179	0.2620747059
180	0.2620440912
181	0.2620267537
182	0.2620088637
183	0.2619839398
184	0.2619590437
185	0.2619373456
186	0.2619112497
187	0.2618898206
188	0.2618592692
189	0.2618347324
190	0.261815074
191	0.2617925514
192	0.2617776055
193	0.2617494665
194	0.2617292257
195	0.2617017935
196	0.2616760481
197	0.2616407801
198	0.2616230776
199	0.2616016591
200	0.2615681505
201	0.2615449117
202	0.2615270874
203	0.2615042248
204	0.2614859845
205	0.2614630646
206	0.2614384407
207	0.2614198177
208	0.2614040896
209	0.2613868972
210	0.2613588026
211	0.2613407457
212	0.2613118462
213	0.261296255
214	0.2612730145
215	0.2612593099
216	0.2612418313
217	0.2612162043
218	0.2612004436
219	0.2611838034
220	0.2611596497
221	0.2611399185
222	0.2611255485
223	0.2611072277
224	0.2610904393
225	0.2610734254
226	0.2610423222
227	0.261023434
228	0.2610114886
229	0.2609952153
230	0.2609762783
231	0.2609612105
232	0.2609504474
233	0.2609336753
234	0.2609152339
235	0.2608971919
236	0.2608795988
237	0.2608657614
238	0.2608490153
239	0.2608200711
240	0.2608075238
241	0.2607837407
242	0.2607633945
243	0.2607460899
244	0.2607294342
245	0.2607131265
246	0.2606861432
247	0.2606686112
248	0.2606543495
249	0.2606374195
250	0.2606199237
251	0.2605999336
252	0.2605815349
253	0.2605705685
254	0.2605551199
255	0.2605329903
256	0.2605211757
257	0.2605112632
258	0.2604969726
259	0.2604755038
260	0.2604624675
261	0.2604439386
262	0.2604166249
263	0.2604014737
264	0.2603835598
265	0.2603689749
266	0.2603527896
267	0.2603314838
268	0.2603114017
269	0.2602922837
270	0.2602792839
271	0.2602637403
272	0.2602443037
273	0.260228733
274	0.2602075596
275	0.2601844944
276	0.2601624206
277	0.2601498617
278	0.2601262617
279	0.2601130919
280	0.2600913997
281	0.2600806417
282	0.260062318
283	0.2600299174
284	0.260018801
285	0.2600011983
286	0.2599737912
287	0.2599502521
288	0.2599345263
289	0.2599142875
290	0.2598968562
291	0.2598816359
292	0.2598610319
293	0.2598491227
294	0.25982352
295	0.2598066431
296	0.259779552
297	0.2597512011
298	0.2597360852
299	0.2597250138
300	0.2597041838
301	0.2596887102
302	0.2596694044
303	0.2596587078
304	0.2596364036
305	0.2596214507
306	0.2596062572
307	0.2595931739
308	0.2595804003
309	0.2595627198
310	0.2595498563
311	0.2595319076
312	0.259512279
313	0.2594974057
314	0.2594847676
315	0.2594657564
316	0.2594524568
317	0.2594256385
318	0.259415398
319	0.2594051226
320	0.2593861439
321	0.2593587453
322	0.2593442615
323	0.2593270875
324	0.2593149297
325	0.2593009325
326	0.2592786708
327	0.2592559313
328	0.2592276173
329	0.2592090323
330	0.2591955479
331	0.2591822888
332	0.2591675081
333	0.2591560747
334	0.2591430015
335	0.2591243478
336	0.2590929661
337	0.2590698141
338	0.2590526175
339	0.2590272907
340	0.2590096771
341	0.2589912988
342	0.2589698371
343	0.2589562733
344	0.2589455439
345	0.2589333014
346	0.258913681
347	0.2589014026
348	0.2588741113
349	0.2588595216
350	0.2588456005
351	0.2588335175
352	0.2588178611
353	0.2587960302
354	0.2587800829
355	0.2587705283
356	0.2587462248
357	0.2587326179
358	0.2587199793
359	0.2587014231
360	0.2586894662
361	0.2586753323
362	0.2586635334
363	0.2586528115
364	0.2586358895
365	0.2586205217
366	0.2586123237
367	0.258592789
368	0.2585782262
369	0.258564135
370	0.2585503676
371	0.2585318072
372	0.258510433
373	0.2584852017
374	0.2584748585
375	0.2584623916
376	0.2584490877
377	0.258431811
378	0.2584226791
379	0.2584117196
380	0.2584010156
381	0.2583853494
382	0.2583579014
383	0.2583437074
384	0.2583331406
385	0.2583066699
386	0.2582953183
387	0.2582851676
388	0.2582739665
389	0.2582507975
390	0.258237937
391	0.2582240884
392	0.2582052092
393	0.2581853421
394	0.2581725502
395	0.2581587167
396	0.2581435146
397	0.2581344619
398	0.2581250905
399	0.2581134562
400	0.2581007856
401	0.2580709342
402	0.2580527851
403	0.2580340197
404	0.258020621
405	0.2580080431
406	0.2579941139
407	0.2579792643
408	0.2579699879
409	0.257958911
410	0.2579453596
411	0.2579266779
412	0.2579111448
413	0.2578949234
414	0.2578785009
415	0.2578670312
416	0.2578548296
417	0.2578374472
418	0.2578258589
419	0.2578106979
420	0.2577976985
421	0.2577844353
422	0.2577711262
423	0.257755893
424	0.2577411653
425	0.2577231753
426	0.2577120252
427	0.257696882
428	0.2576853003
429	0.2576638842
430	0.2576516458
431	0.2576403705
432	0.2576273191
433	0.2576078464
