iter	Passed	Remaining
0	47	70785
1	79	59656
2	108	54175
3	138	51689
4	174	52133
5	204	50933
6	237	50725
7	271	50560
8	304	50436
9	336	50084
10	365	49507
11	397	49246
12	433	49544
13	465	49426
14	499	49468
15	536	49783
16	573	50064
17	607	49978
18	646	50396
19	684	50629
20	716	50464
21	758	50971
22	798	51293
23	836	51458
24	874	51619
25	913	51770
26	953	52021
27	988	51941
28	1054	53467
29	1102	54046
30	1149	54483
31	1196	54892
32	1240	55149
33	1303	56200
34	1367	57229
35	1430	58176
36	1476	58396
37	1523	58600
38	1568	58742
39	1599	58398
40	1638	58304
41	1676	58206
42	1716	58155
43	1746	57781
44	1779	57533
45	1813	57330
46	1848	57131
47	1881	56922
48	1917	56793
49	1946	56448
50	1980	56263
51	2014	56101
52	2053	56077
53	2082	55752
54	2115	55566
55	2153	55535
56	2187	55378
57	2216	55108
58	2243	54802
59	2278	54689
60	2309	54481
61	2342	54320
62	2374	54171
63	2404	53945
64	2440	53879
65	2477	53838
66	2511	53708
67	2549	53694
68	2579	53497
69	2613	53385
70	2651	53359
71	2682	53201
72	2714	53057
73	2750	53010
74	2789	52995
75	2824	52918
76	2863	52910
77	2901	52889
78	2937	52844
79	2965	52629
80	2993	52448
81	3032	52433
82	3065	52327
83	3098	52226
84	3139	52265
85	3175	52209
86	3207	52094
87	3242	52028
88	3283	52049
89	3319	51998
90	3353	51923
91	3385	51814
92	3423	51797
93	3456	51705
94	3483	51516
95	3517	51448
96	3552	51378
97	3580	51229
98	3610	51095
99	3649	51090
100	3683	51023
101	3717	50948
102	3751	50876
103	3785	50814
104	3814	50680
105	3842	50528
106	3872	50418
107	3902	50295
108	3933	50191
109	3966	50118
110	4000	50060
111	4030	49950
112	4073	49996
113	4100	49857
114	4129	49733
115	4165	49702
116	4197	49621
117	4231	49555
118	4262	49471
119	4291	49355
120	4333	49386
121	4365	49310
122	4403	49300
123	4434	49205
124	4463	49097
125	4493	49005
126	4528	48959
127	4562	48902
128	4591	48800
129	4626	48755
130	4655	48651
131	4686	48568
132	4722	48541
133	4749	48411
134	4778	48320
135	4818	48323
136	4849	48243
137	4885	48219
138	4914	48115
139	4940	47991
140	4974	47948
141	5001	47829
142	5033	47763
143	5062	47673
144	5093	47593
145	5121	47501
146	5156	47457
147	5187	47390
148	5215	47292
149	5255	47300
150	5291	47268
151	5324	47219
152	5357	47165
153	5385	47067
154	5414	46987
155	5444	46906
156	5476	46847
157	5507	46774
158	5532	46661
159	5560	46569
160	5590	46495
161	5628	46483
162	5657	46409
163	5687	46334
164	5723	46311
165	5760	46290
166	5789	46215
167	5825	46187
168	5860	46154
169	5891	46089
170	5924	46046
171	5956	45992
172	5988	45937
173	6023	45906
174	6051	45817
175	6089	45813
176	6120	45751
177	6154	45710
178	6184	45640
179	6213	45562
180	6250	45549
181	6283	45501
182	6312	45430
183	6341	45358
184	6368	45265
185	6399	45211
186	6436	45195
187	6474	45182
188	6504	45117
189	6552	45180
190	6584	45127
191	6619	45093
192	6656	45080
193	6687	45021
194	6718	44960
195	6759	44972
196	6790	44914
197	6818	44837
198	6852	44796
199	6886	44760
200	6929	44780
201	6959	44718
202	6991	44670
203	7022	44616
204	7051	44545
205	7087	44520
206	7120	44475
207	7151	44420
208	7181	44362
209	7218	44342
210	7252	44308
211	7280	44231
212	7310	44173
213	7340	44112
214	7373	44070
215	7402	44004
216	7440	43990
217	7472	43944
218	7502	43887
219	7533	43828
220	7563	43769
221	7591	43702
222	7621	43646
223	7649	43572
224	7680	43521
225	7712	43474
226	7749	43460
227	7776	43387
228	7805	43322
229	7834	43260
230	7864	43201
231	7896	43159
232	7926	43102
233	7956	43044
234	7986	42992
235	8019	42950
236	8050	42903
237	8079	42842
238	8118	42834
239	8146	42770
240	8173	42700
241	8202	42638
242	8237	42608
243	8269	42567
244	8299	42512
245	8334	42484
246	8369	42459
247	8405	42435
248	8431	42360
249	8465	42325
250	8493	42264
251	8524	42215
252	8556	42175
253	8589	42136
254	8624	42105
255	8655	42060
