iter	RMSE
0	0.2354868362
1	0.2345150183
2	0.2335554714
3	0.2326367302
4	0.231744758
5	0.2308795475
6	0.2300605707
7	0.229252564
8	0.2284958541
9	0.2277458748
10	0.2270246342
11	0.2263200489
12	0.2256591846
13	0.2250103725
14	0.2243870132
15	0.2237696502
16	0.223185863
17	0.2226274773
18	0.2220795185
19	0.2215430072
20	0.2210272752
21	0.2205333428
22	0.2200686894
23	0.2196247885
24	0.219185975
25	0.2187556668
26	0.21833744
27	0.2179338702
28	0.2175558815
29	0.2171681905
30	0.2168153681
31	0.2164609772
32	0.2161282877
33	0.2157979933
34	0.215487835
35	0.2151874702
36	0.2149061454
37	0.2146243092
38	0.2143541914
39	0.2140765905
40	0.2138243818
41	0.2135600814
42	0.2133160945
43	0.2130785187
44	0.2128588218
45	0.2126344959
46	0.2124130643
47	0.2122101674
48	0.2120125474
49	0.2118168847
50	0.2116346794
51	0.2114529713
52	0.2112783707
53	0.2111098765
54	0.2109581406
55	0.2107902749
56	0.2106393886
57	0.2104942248
58	0.2103612262
59	0.2102248285
60	0.2100868224
61	0.2099559701
62	0.2098231818
63	0.2096962264
64	0.209578148
65	0.2094628068
66	0.2093449703
67	0.2092374044
68	0.2091263944
69	0.2090151314
70	0.2089132093
71	0.208814468
72	0.2087182115
73	0.2086233833
74	0.2085389748
75	0.208445054
76	0.2083656576
77	0.2082781291
78	0.2081893578
79	0.2081067609
80	0.2080323922
81	0.2079575345
82	0.2078785622
83	0.2077989822
84	0.2077324927
85	0.2076566938
86	0.2075904029
87	0.2075246992
88	0.2074635056
89	0.2074009839
90	0.2073370482
91	0.2072711284
92	0.2072100796
93	0.2071575506
94	0.2071074665
95	0.2070470274
96	0.2069919128
97	0.2069404383
98	0.2068933285
99	0.2068402117
100	0.2067880047
101	0.2067372866
102	0.2066935772
103	0.2066478778
104	0.2066006665
105	0.2065605508
106	0.2065124072
107	0.2064716745
108	0.2064272399
109	0.206389322
110	0.2063434801
111	0.206301648
112	0.2062593176
113	0.2062288255
114	0.206181746
115	0.2061456553
116	0.2061118869
117	0.2060696503
118	0.2060411277
119	0.2060020564
120	0.2059652557
121	0.2059271685
122	0.2058886678
123	0.2058464718
124	0.2058146701
125	0.2057867811
126	0.2057601099
127	0.205726328
128	0.205692744
129	0.2056605093
130	0.2056335666
131	0.2056051042
132	0.2055733051
133	0.2055397633
134	0.2055079428
135	0.2054766983
136	0.205442732
137	0.2054172712
138	0.2053844843
139	0.2053566208
140	0.2053207907
141	0.2052921688
142	0.2052626159
143	0.2052408715
144	0.2052155541
145	0.2051847978
146	0.2051559094
147	0.2051327858
