iter	Passed	Remaining
0	39	59432
1	83	62229
2	131	65785
3	160	59910
4	185	55542
5	210	52460
6	243	51875
7	271	50689
8	301	50014
9	329	49047
10	350	47445
11	385	47817
12	407	46656
13	430	45651
14	451	44684
15	473	43955
16	499	43532
17	516	42518
18	537	41882
19	558	41320
20	583	41061
21	607	40797
22	634	40752
23	662	40766
24	688	40599
25	712	40416
26	738	40295
27	761	40021
28	787	39927
29	812	39807
30	834	39529
31	861	39520
32	886	39408
33	909	39229
34	934	39097
35	960	39065
36	984	38918
37	1010	38858
38	1035	38792
39	1061	38737
40	1084	38606
41	1110	38561
42	1136	38495
43	1158	38352
44	1185	38331
45	1213	38348
46	1237	38267
47	1264	38239
48	1289	38183
49	1314	38118
50	1337	38002
51	1361	37917
52	1383	37767
53	1406	37661
54	1433	37653
55	1457	37585
56	1488	37671
57	1515	37682
58	1545	37748
59	1570	37691
60	1596	37663
61	1620	37585
62	1642	37456
63	1674	37577
64	1697	37483
65	1720	37379
66	1741	37257
67	1765	37184
68	1789	37104
69	1810	36994
70	1832	36885
71	1860	36892
72	1879	36737
73	1901	36651
74	1928	36641
75	1951	36565
76	1974	36495
77	1997	36424
78	2018	36311
79	2040	36216
80	2064	36163
81	2087	36090
82	2108	35997
83	2132	35949
84	2156	35896
85	2180	35843
86	2202	35768
87	2224	35688
88	2249	35657
89	2272	35606
90	2297	35565
91	2322	35540
92	2346	35496
93	2367	35410
94	2390	35350
95	2413	35295
96	2436	35235
97	2460	35197
98	2486	35185
99	2517	35251
100	2549	35312
101	2582	35400
102	2666	36159
103	2690	36116
104	2715	36073
105	2737	35994
106	2763	35976
107	2784	35891
108	2807	35822
109	2829	35753
110	2849	35659
111	2876	35653
112	2902	35627
113	2928	35609
114	2951	35543
115	2975	35498
116	2998	35446
117	3018	35354
118	3043	35321
119	3064	35245
120	3085	35169
121	3111	35144
122	3135	35097
123	3156	35024
124	3178	34965
125	3201	34909
126	3223	34847
127	3246	34797
128	3268	34739
129	3289	34668
130	3312	34617
131	3339	34612
132	3359	34525
133	3382	34484
134	3408	34461
135	3427	34377
136	3446	34286
137	3471	34260
138	3492	34195
139	3514	34137
140	3535	34080
141	3557	34021
142	3579	33965
143	3604	33944
144	3623	33856
145	3642	33776
146	3663	33722
147	3686	33676
148	3706	33607
149	3726	33541
150	3748	33485
151	3769	33432
152	3791	33383
153	3812	33325
154	3837	33301
155	3861	33267
156	3881	33201
157	3903	33154
158	3925	33104
159	3953	33106
160	3979	33096
161	4006	33091
162	4027	33034
163	4047	32973
164	4070	32931
165	4091	32877
166	4112	32828
167	4135	32788
168	4159	32760
169	4180	32706
170	4200	32644
171	4222	32602
172	4242	32541
173	4262	32479
174	4280	32409
175	4300	32349
176	4323	32319
177	4346	32278
178	4368	32237
179	4388	32185
180	4413	32159
181	4434	32117
182	4457	32078
183	4485	32083
184	4506	32034
185	4527	31986
186	4547	31930
187	4568	31880
188	4588	31825
189	4610	31790
190	4633	31756
191	4655	31714
192	4678	31679
193	4697	31625
194	4719	31582
195	4738	31526
196	4758	31470
197	4781	31440
198	4802	31399
199	4826	31369
200	4845	31317
201	4867	31274
202	4894	31270
203	4914	31218
204	4934	31169
205	4950	31099
206	4970	31047
207	4994	31025
208	5021	31016
209	5045	30991
210	5070	30977
211	5098	30976
212	5128	30989
213	5160	31014
214	5185	30995
215	5205	30941
216	5225	30895
217	5248	30867
218	5271	30835
219	5293	30800
220	5313	30749
221	5334	30706
222	5362	30707
223	5384	30671
224	5406	30639
225	5430	30612
226	5453	30582
227	5473	30538
228	5503	30543
229	5529	30532
230	5552	30501
231	5580	30498
232	5606	30485
233	5628	30453
234	5650	30416
235	5677	30407
236	5701	30385
237	5722	30342
238	5744	30307
239	5765	30270
240	5791	30257
241	5813	30220
242	5833	30174
243	5856	30146
244	5874	30093
245	5895	30054
246	5918	30022
247	5940	29990
248	5963	29962
249	5984	29920
250	6004	29878
251	6025	29840
252	6046	29803
253	6066	29758
254	6088	29724
255	6113	29708
256	6135	29674
257	6157	29640
258	6177	29600
259	6197	29555
260	6219	29524
261	6240	29487
262	6262	29456
263	6287	29438
264	6311	29414
265	6332	29378
266	6354	29344
267	6374	29303
268	6396	29271
269	6419	29242
270	6440	29207
271	6471	29215
272	6543	29409
273	6596	29516
274	6646	29605
275	6673	29594
276	6699	29580
277	6722	29549
278	6743	29510
279	6765	29476
280	6794	29476
281	6819	29456
282	6842	29426
283	6875	29439
284	6901	29421
285	6923	29387
286	6951	29379
287	6977	29363
288	7028	29450
289	7068	29494
290	7119	29578
291	7182	29714
292	7222	29754
293	7263	29795
294	7290	29779
295	7321	29781
296	7346	29755
297	7377	29757
298	7404	29743
299	7429	29716
300	7455	29699
301	7486	29696
302	7511	29672
303	7541	29669
304	7578	29691
305	7606	29678
306	7634	29667
307	7658	29639
308	7682	29609
309	7723	29648
310	7750	29629
311	7783	29635
312	7822	29663
313	7855	29671
314	7885	29663
315	7911	29642
316	7941	29635
317	7967	29614
318	7990	29583
319	8015	29555
320	8038	29525
321	8065	29505
322	8089	29477
323	8112	29443
324	8134	29410
325	8156	29373
326	8181	29349
327	8203	29313
328	8233	29305
329	8255	29270
330	8278	29237
331	8302	29208
332	8332	29201
333	8359	29183
334	8386	29165
335	8407	29125
336	8431	29098
337	8452	29057
338	8470	29009
339	8492	28973
340	8514	28939
341	8540	28917
342	8561	28880
343	8585	28851
344	8609	28822
345	8632	28790
346	8653	28752
347	8673	28712
348	8698	28688
349	8718	28646
350	8742	28619
351	8760	28572
352	8779	28527
353	8802	28496
354	8822	28457
355	8844	28423
356	8867	28392
357	8892	28365
358	8915	28334
359	8937	28303
360	8957	28262
361	8981	28235
362	9004	28202
363	9024	28165
364	9047	28135
365	9069	28099
366	9088	28058
367	9109	28021
368	9132	27990
369	9153	27954
370	9174	27918
371	9198	27891
372	9219	27856
373	9243	27828
374	9268	27804
375	9289	27768
376	9309	27730
377	9334	27707
378	9357	27677
379	9379	27643
380	9401	27612
381	9423	27578
382	9447	27552
383	9466	27513
384	9485	27470
385	9508	27440
386	9528	27404
387	9548	27366
388	9570	27332
389	9589	27292
390	9611	27261
391	9632	27227
392	9653	27191
393	9678	27169
394	9699	27133
395	9719	27098
396	9743	27072
397	9765	27039
398	9791	27020
399	9813	26985
400	9837	26961
401	9859	26929
402	9881	26898
403	9900	26857
404	9921	26825
405	9947	26803
406	9971	26779
407	9996	26756
408	10018	26723
409	10040	26693
410	10060	26656
411	10081	26622
412	10105	26596
413	10130	26573
414	10153	26546
415	10174	26512
416	10195	26478
417	10216	26445
418	10239	26416
419	10260	26383
420	10280	26349
421	10304	26322
422	10326	26291
423	10348	26260
424	10367	26224
425	10388	26189
426	10409	26156
427	10430	26126
428	10454	26099
429	10475	26067
430	10498	26038
431	10522	26014
432	10544	25985
433	10564	25949
434	10586	25917
435	10609	25890
436	10633	25865
437	10659	25844
438	10679	25811
439	10704	25788
440	10723	25750
441	10747	25726
442	10769	25697
443	10790	25663
444	10816	25642
445	10837	25611
446	10859	25582
447	10882	25554
448	10901	25518
449	10923	25487
450	10941	25448
451	10961	25414
452	10983	25385
453	11004	25354
454	11028	25329
455	11054	25308
456	11081	25290
457	11103	25261
458	11125	25232
459	11149	25207
460	11172	25180
461	11194	25151
462	11218	25125
463	11244	25106
464	11266	25076
465	11289	25050
466	11315	25028
467	11338	25001
468	11361	24976
469	11382	24944
470	11405	24918
471	11430	24894
472	11454	24869
473	11478	24845
474	11500	24817
475	11525	24795
476	11549	24770
477	11572	24742
478	11600	24726
479	11626	24706
480	11648	24676
481	11669	24647
482	11693	24622
483	11717	24596
484	11744	24578
485	11767	24551
486	11810	24567
487	11836	24546
488	11858	24517
489	11882	24492
490	11904	24463
491	11926	24434
492	11947	24402
493	11966	24369
494	11988	24341
495	12010	24312
496	12034	24286
497	12057	24261
498	12083	24239
499	12109	24219
500	12131	24190
501	12155	24166
502	12176	24135
503	12199	24108
504	12224	24085
505	12244	24052
506	12268	24028
507	12287	23993
508	12311	23970
509	12334	23943
510	12356	23914
511	12379	23887
512	12400	23858
513	12421	23828
514	12445	23802
515	12464	23770
516	12485	23740
517	12509	23715
518	12533	23690
519	12557	23665
520	12579	23637
521	12601	23610
522	12625	23585
523	12645	23553
524	12667	23525
525	12686	23492
526	12708	23463
527	12728	23431
528	12752	23407
529	12773	23377
530	12796	23352
531	12823	23333
532	12846	23306
533	12869	23280
534	12892	23254
535	12912	23223
536	12936	23199
537	12963	23180
538	12985	23153
539	13007	23124
540	13032	23101
541	13052	23071
542	13074	23042
543	13095	23013
544	13114	22980
545	13136	22952
546	13158	22925
547	13184	22904
548	13205	22874
549	13227	22848
550	13249	22819
551	13270	22790
552	13296	22770
553	13322	22748
554	13345	22722
555	13366	22693
556	13389	22667
557	13413	22644
558	13438	22621
559	13459	22592
560	13480	22563
561	13500	22532
562	13526	22511
563	13546	22481
564	13565	22449
565	13589	22425
566	13612	22399
567	13636	22375
568	13660	22350
569	13682	22323
570	13703	22294
571	13726	22268
572	13745	22238
573	13765	22206
574	13788	22181
575	13807	22149
576	13828	22120
577	13856	22103
578	13875	22071
579	13902	22051
580	13926	22027
581	13947	21999
582	13969	21973
583	13993	21948
584	14012	21917
585	14036	21893
586	14063	21873
587	14085	21846
588	14110	21824
589	14133	21798
590	14156	21773
591	14176	21742
592	14203	21724
593	14223	21694
594	14248	21672
595	14273	21650
596	14300	21630
597	14324	21606
598	14345	21577
599	14368	21552
600	14388	21522
601	14410	21495
602	14435	21473
603	14459	21449
604	14488	21433
605	14514	21412
606	14545	21399
607	14571	21378
608	14595	21354
609	14616	21326
610	14638	21299
611	14663	21275
612	14684	21248
613	14705	21220
614	14730	21197
615	14753	21172
616	14779	21151
617	14801	21124
618	14822	21095
619	14846	21072
620	14866	21042
621	14887	21015
622	14908	20987
623	14932	20962
624	14952	20932
625	14978	20911
626	15001	20886
627	15024	20861
628	15042	20829
629	15064	20803
630	15088	20779
631	15108	20750
632	15129	20722
633	15150	20694
634	15172	20667
635	15194	20641
636	15217	20616
637	15238	20589
638	15258	20559
639	15279	20531
640	15302	20507
641	15326	20483
642	15350	20458
643	15373	20434
644	15394	20406
645	15421	20386
646	15441	20357
647	15461	20328
648	15481	20300
649	15500	20269
650	15521	20241
651	15541	20213
652	15562	20185
653	15582	20156
654	15605	20132
655	15630	20109
656	15653	20084
657	15677	20061
658	15699	20035
659	15719	20006
660	15741	19981
661	15760	19950
662	15781	19923
663	15802	19896
664	15827	19873
665	15850	19848
666	15874	19824
667	15897	19800
668	15919	19774
669	15940	19746
670	15959	19717
671	15982	19692
672	16005	19667
673	16032	19647
674	16054	19621
675	16076	19595
676	16104	19577
677	16130	19555
678	16150	19528
679	16176	19507
680	16195	19477
681	16218	19452
682	16244	19431
683	16264	19403
684	16290	19382
685	16316	19360
686	16339	19336
687	16362	19312
688	16384	19285
689	16411	19266
690	16431	19237
691	16451	19209
692	16472	19182
693	16492	19153
694	16513	19126
695	16532	19098
696	16553	19070
697	16574	19043
698	16598	19020
699	16622	18996
700	16640	18966
701	16664	18943
702	16686	18917
703	16708	18892
704	16728	18863
705	16748	18836
706	16771	18812
707	16792	18784
708	16816	18761
709	16837	18734
710	16858	18707
711	16879	18681
712	16900	18654
713	16920	18627
714	16944	18603
715	16966	18577
716	16987	18551
717	17007	18523
718	17029	18498
719	17052	18473
720	17072	18445
721	17093	18419
722	17113	18391
723	17138	18369
724	17163	18347
725	17188	18324
726	17212	18301
727	17233	18275
728	17257	18251
729	17278	18224
730	17303	18202
731	17323	18175
732	17346	18150
733	17368	18125
734	17393	18103
735	17417	18080
736	17440	18056
737	17461	18029
738	17484	18005
739	17506	17979
740	17526	17952
741	17552	17930
742	17574	17905
743	17599	17883
744	17623	17860
745	17646	17835
746	17667	17809
747	17692	17787
748	17717	17764
749	17739	17739
750	17761	17714
751	17788	17693
752	17808	17666
753	17830	17641
754	17851	17615
755	17872	17589
756	17898	17567
757	17923	17545
758	17945	17520
759	17965	17492
760	17990	17470
761	18014	17447
762	18038	17423
763	18059	17397
764	18083	17374
765	18104	17348
766	18127	17323
767	18147	17296
768	18168	17270
769	18189	17244
770	18212	17220
771	18233	17194
772	18254	17168
773	18276	17142
774	18298	17117
775	18318	17091
776	18342	17068
777	18365	17043
778	18393	17024
779	18411	16994
780	18433	16970
781	18457	16947
782	18481	16923
783	18504	16899
784	18532	16879
785	18556	16856
786	18581	16834
787	18605	16810
788	18631	16789
789	18656	16767
790	18678	16742
791	18703	16719
792	18727	16696
793	18749	16671
794	18769	16644
795	18797	16625
796	18820	16600
797	18845	16577
798	18865	16551
799	18890	16529
800	18916	16507
801	18936	16480
802	18957	16455
803	18980	16430
804	19001	16405
805	19028	16384
806	19051	16360
807	19075	16336
808	19096	16311
809	19121	16288
810	19144	16264
811	19172	16244
812	19195	16220
813	19219	16197
814	19245	16175
815	19269	16152
816	19295	16130
817	19325	16112
818	19347	16087
819	19368	16061
820	19390	16036
821	19413	16012
822	19437	15989
823	19461	15965
824	19483	15940
825	19507	15917
826	19530	15893
827	19552	15869
828	19578	15847
829	19599	15821
830	19628	15802
831	19655	15781
832	19683	15760
833	19706	15736
834	19728	15711
835	19752	15688
836	19774	15664
837	19797	15639
838	19819	15614
839	19844	15592
840	19870	15570
841	19893	15546
842	19918	15523
843	19937	15496
844	19959	15471
845	19985	15449
846	20006	15424
847	20028	15399
848	20050	15374
