iter	Passed	Remaining
0	27	41597
1	54	40801
2	79	39739
3	104	39035
4	130	38910
5	155	38623
6	182	38843
7	206	38595
8	230	38209
9	255	38114
10	282	38250
11	306	38060
12	336	38459
13	361	38421
14	387	38376
15	416	38593
16	442	38620
17	467	38511
18	495	38596
19	525	38856
20	552	38936
21	582	39101
22	619	39795
23	707	43507
24	732	43244
25	759	43041
26	789	43081
27	816	42916
28	841	42699
29	872	42736
30	900	42684
31	928	42602
32	955	42489
33	984	42452
34	1010	42298
35	1039	42253
36	1067	42191
37	1094	42113
38	1123	42079
39	1148	41937
40	1177	41891
41	1204	41806
42	1235	41869
43	1263	41804
44	1289	41686
45	1313	41505
46	1341	41459
47	1368	41398
48	1395	41316
49	1427	41410
50	1457	41397
51	1483	41309
52	1513	41326
53	1542	41315
54	1570	41263
55	1600	41265
56	1627	41210
57	1658	41245
58	1686	41201
59	1717	41231
60	1746	41200
61	1775	41180
62	1802	41112
63	1829	41038
64	1859	41044
65	1884	40954
66	1914	40953
67	1942	40909
68	1971	40882
69	1998	40830
70	2067	41613
71	2102	41690
72	2130	41656
73	2158	41587
74	2187	41569
75	2213	41483
76	2241	41419
77	2269	41371
78	2299	41370
79	2328	41322
80	2355	41258
81	2382	41206
82	2412	41187
83	2440	41138
84	2471	41140
85	2499	41094
86	2528	41063
87	2557	41042
88	2586	41001
89	2611	40916
90	2641	40905
91	2669	40854
92	2698	40819
93	2727	40789
94	2758	40800
95	2790	40812
96	2821	40809
97	2848	40757
98	2879	40748
99	2909	40728
100	2938	40699
101	2966	40659
102	3004	40745
103	3032	40705
104	3059	40647
105	3086	40585
106	3115	40554
107	3143	40521
108	3171	40470
109	3200	40444
110	3228	40396
111	3254	40334
112	3283	40301
113	3310	40251
114	3342	40250
115	3369	40202
116	3397	40161
117	3424	40104
118	3452	40064
119	3480	40022
120	3506	39967
121	3536	39947
122	3563	39891
123	3593	39877
124	3630	39930
125	3665	39975
126	3698	39986
127	3727	39957
128	3754	39905
129	3782	39858
130	3810	39824
131	3839	39788
132	3869	39768
133	3896	39719
134	3924	39682
135	3952	39637
136	3978	39577
137	4004	39525
138	4032	39479
139	4061	39458
140	4086	39386
141	4115	39354
142	4142	39308
143	4169	39265
144	4198	39231
145	4228	39210
146	4255	39163
147	4281	39113
148	4310	39087
149	4337	39039
150	4367	39020
151	4394	38976
152	4423	38942
153	4448	38883
154	4476	38840
155	4503	38802
156	4533	38781
157	4561	38743
158	4588	38699
159	4616	38662
160	4645	38634
161	4672	38590
162	4701	38564
163	4730	38533
164	4758	38497
165	4784	38446
166	4813	38418
167	4843	38401
168	4871	38366
169	4898	38326
170	4930	38322
171	4962	38314
172	4992	38292
173	5027	38312
174	5057	38295
175	5086	38264
176	5113	38223
177	5141	38188
178	5167	38137
179	5192	38076
180	5218	38032
181	5247	37999
182	5275	37965
183	5309	37975
184	5393	38340
185	5448	38492
186	5498	38607
187	5544	38696
188	5582	38719
189	5622	38763
190	5662	38807
191	5738	39090
192	5776	39118
193	5808	39105
194	5834	39045
195	5864	39015
196	5901	39035
197	5943	39080
198	5974	39061
199	6006	39041
200	6055	39131
201	6101	39205
202	6141	39242
203	6182	39277
204	6224	39320
205	6272	39400
206	6306	39394
207	6337	39364
208	6369	39341
209	6403	39333
210	6437	39324
211	6472	39321
212	6509	39331
213	6557	39405
214	6597	39431
215	6636	39451
216	6674	39464
217	6740	39638
218	6772	39612
219	6802	39580
220	6832	39543
221	6865	39522
222	6927	39667
223	6962	39664
224	6996	39646
225	7029	39628
226	7066	39630
227	7099	39609
228	7128	39565
229	7161	39544
230	7197	39541
231	7231	39523
232	7274	39558
233	7310	39553
234	7346	39548
235	7378	39521
236	7409	39488
237	7441	39461
238	7474	39437
239	7508	39417
240	7540	39394
241	7576	39385
242	7607	39353
243	7649	39375
244	7685	39369
245	7721	39359
246	7752	39325
247	7782	39290
248	7815	39264
249	7844	39224
250	7878	39202
251	7907	39160
252	7947	39169
253	7975	39121
254	8003	39075
255	8033	39035
256	8060	38986
257	8089	38940
258	8117	38894
259	8144	38840
260	8171	38790
261	8196	38730
262	8224	38681
263	8252	38637
264	8282	38598
265	8309	38546
266	8336	38496
267	8364	38450
268	8392	38406
269	8418	38352
270	8452	38330
271	8479	38283
272	8509	38246
273	8539	38208
274	8570	38178
275	8600	38140
276	8626	38085
277	8652	38033
278	8679	37985
279	8707	37940
280	8736	37899
281	8774	37900
282	8803	37858
283	8834	37826
284	8866	37798
285	8891	37743
286	8919	37699
287	8950	37664
288	8981	37635
289	9011	37601
290	9039	37555
291	9064	37500
292	9092	37454
293	9119	37407
294	9146	37360
295	9173	37314
296	9201	37272
297	9230	37233
298	9260	37195
299	9287	37151
300	9318	37118
301	9344	37070
302	9370	37017
303	9396	36968
304	9422	36916
305	9449	36871
306	9480	36839
307	9509	36802
308	9537	36759
309	9564	36716
310	9593	36678
311	9619	36628
312	9648	36588
313	9674	36542
314	9704	36508
315	9736	36482
316	9766	36446
317	9796	36413
318	9824	36372
319	9851	36328
320	9878	36284
321	9904	36235
322	9934	36201
323	9962	36160
324	9988	36113
325	10019	36081
326	10050	36051
327	10078	36011
328	10106	35971
329	10136	35937
330	10162	35891
331	10190	35850
332	10217	35805
333	10244	35762
334	10272	35722
335	10299	35681
336	10325	35633
337	10353	35594
338	10383	35559
339	10408	35511
340	10437	35474
341	10467	35441
342	10496	35404
343	10526	35374
344	10559	35349
345	10590	35321
346	10617	35280
347	10647	35245
348	10678	35216
349	10707	35180
350	10734	35139
351	10761	35098
352	10792	35066
353	10824	35042
354	10853	35006
355	10889	34994
356	10927	34986
357	10956	34951
358	10985	34914
359	11017	34887
360	11045	34848
361	11075	34817
362	11103	34778
363	11133	34745
364	11161	34706
365	11191	34675
366	11219	34636
367	11250	34606
368	11280	34575
369	11307	34533
370	11337	34501
371	11362	34454
372	11392	34421
373	11423	34391
374	11452	34356
375	11481	34321
376	11512	34292
377	11537	34247
378	11568	34216
379	11608	34215
380	11661	34249
381	11720	34302
382	11780	34357
383	11839	34408
384	11888	34429
385	11948	34482
386	11997	34505
387	12048	34530
388	12084	34514
389	12162	34617
390	12201	34606
391	12251	34627
392	12300	34649
393	12351	34672
394	12405	34704
395	12499	34847
396	12557	34890
397	12622	34948
398	12669	34961
399	12725	34994
400	12767	34990
401	12824	35026
402	12869	35032
403	12931	35081
404	13005	35161
405	13072	35224
406	13127	35254
407	13176	35267
408	13230	35291
409	13284	35318
410	13337	35339
411	13390	35360
412	13457	35420
413	13525	35478
414	13579	35503
415	13637	35535
416	13689	35554
417	13723	35524
418	13764	35512
419	13823	35546
420	13868	35545
421	13930	35584
422	14011	35675
423	14073	35714
424	14122	35722
425	14158	35695
426	14195	35671
427	14273	35750
428	14326	35766
429	14375	35772
430	14436	35807
431	14496	35839
432	14548	35850
433	14596	35851
434	14646	35857
435	14699	35872
436	14748	35874
437	14836	35973
