iter	Logloss
0	0.6727487871
1	0.6533012098
2	0.6351643279
3	0.6180221079
4	0.6014834562
5	0.5863441814
6	0.5723402779
7	0.5588586758
8	0.545923967
9	0.5334658562
10	0.5217475882
11	0.5107208067
12	0.5002223104
13	0.4902591186
14	0.4815425814
15	0.4725271926
16	0.4638584553
17	0.4561440377
18	0.4484423599
19	0.4411964392
20	0.4342841861
21	0.4283098481
22	0.4221991515
23	0.4169997503
24	0.4117853426
25	0.4068495856
26	0.4023393336
27	0.397648866
28	0.3933383545
29	0.3890725227
30	0.3853352824
31	0.3814578729
32	0.3778262625
33	0.3744893968
34	0.3711543872
35	0.3681444527
36	0.3650956858
37	0.3621368418
38	0.3594837488
39	0.3568760357
40	0.3545604114
41	0.3522847947
42	0.3500436942
43	0.3481288913
44	0.3461839662
45	0.3443484209
46	0.3426194296
47	0.3410476723
48	0.3396684352
49	0.337996749
50	0.336465193
51	0.3350387439
52	0.3335320877
53	0.3321905118
54	0.3308905585
55	0.3297521317
56	0.3286289884
57	0.3273958477
58	0.3263781065
59	0.3253494896
60	0.32442337
61	0.3234044715
62	0.322454606
63	0.3216329157
64	0.3208873509
65	0.3201071677
66	0.3193632852
67	0.31864392
68	0.3179109744
69	0.3172029973
70	0.3166226849
71	0.3160023446
72	0.3154527312
73	0.3148836248
74	0.3143083356
75	0.3137148186
76	0.3131487236
77	0.3127286105
78	0.3123168782
79	0.311904728
80	0.3114171156
81	0.3110344989
82	0.310602411
83	0.3102221503
84	0.3098454237
85	0.3094786502
86	0.3090866164
87	0.3088118333
88	0.308532255
89	0.3081844814
90	0.3079228428
91	0.3075840732
92	0.3072532217
93	0.3069971685
94	0.3067405261
95	0.3064691745
96	0.3061815669
97	0.3058505589
98	0.3056086714
99	0.3054152087
100	0.3051925506
101	0.3049481864
102	0.3047349594
103	0.3044858827
104	0.3043300152
105	0.3041861614
106	0.3040350893
107	0.3038539312
108	0.3036712919
109	0.303525071
110	0.3033414386
111	0.3031761574
112	0.3030506469
113	0.3029125784
114	0.3027639595
115	0.3026161938
116	0.3024582176
117	0.3023262265
118	0.3021597285
119	0.3020193987
120	0.3018939301
121	0.3017220234
122	0.3015490736
123	0.3014793204
124	0.3014007268
125	0.3013149345
126	0.3011909421
127	0.3010757601
128	0.300962567
129	0.3008935665
130	0.3007869178
131	0.3006601577
132	0.3005742626
133	0.3004761826
134	0.3003688556
135	0.3003104867
136	0.3001815532
137	0.3000606056
138	0.2999279744
139	0.2998571886
140	0.2997990727
141	0.2997543137
142	0.2997014812
143	0.2996376353
144	0.2995376541
145	0.299466799
146	0.2994040555
147	0.2993351202
148	0.2992866909
149	0.2991878627
150	0.2991205106
151	0.2990598556
152	0.298982253
153	0.298905063
154	0.2988172181
155	0.2987612476
156	0.2987031641
157	0.2986473611
158	0.2985921621
159	0.2985551574
160	0.2985124121
161	0.2984679064
162	0.2983732556
163	0.2983096529
164	0.2982258611
165	0.2981726023
166	0.2981069925
167	0.2980428971
168	0.2979555805
169	0.2979187888
170	0.2978647366
171	0.2978056833
172	0.2977642543
173	0.2976778708
174	0.2976181201
175	0.2975803867
176	0.2975297849
177	0.2974809675
178	0.2974400342
179	0.2973775732
180	0.2973424542
181	0.2973016435
182	0.297250279
183	0.2971844514
184	0.2971289523
185	0.2970795795
186	0.2970180821
187	0.2969679706
188	0.296924387
189	0.2968924438
190	0.2968304028
191	0.2967689632
192	0.2967136042
193	0.2966797071
194	0.2966128523
195	0.2965877055
196	0.2965428845
197	0.2964693508
198	0.2964318155
199	0.2963876902
200	0.2963303154
201	0.2962963254
202	0.2962563681
203	0.2962066482
204	0.2961750519
205	0.2961441089
206	0.2960935977
207	0.2960360728
208	0.2959835301
209	0.2959547679
210	0.295930331
211	0.2958829303
212	0.2958511301
213	0.2958325786
214	0.2957895716
215	0.2957627809
216	0.2957170092
217	0.2956828034
218	0.2956523485
219	0.2956143542
220	0.2955785485
221	0.2955406745
222	0.2954847055
223	0.2954589104
224	0.2954334196
225	0.2953917756
226	0.2953608556
227	0.2953316229
228	0.2953042331
229	0.2952703203
230	0.2952547109
231	0.2952176326
232	0.2951675244
233	0.295127159
234	0.2950773681
235	0.2950455655
236	0.2950083371
237	0.2949609277
238	0.294929173
239	0.2948928475
240	0.2948562687
241	0.2948139241
242	0.2947801051
243	0.294755327
