iter	Passed	Remaining
0	38	57727
1	65	49244
2	93	46590
3	125	46795
4	154	46192
5	179	44810
6	205	43800
7	231	43181
8	257	42653
9	283	42187
10	310	42003
11	337	41860
12	371	42490
13	401	42595
14	426	42264
15	454	42154
16	480	41929
17	505	41653
18	532	41482
19	561	41517
20	586	41304
21	616	41423
22	646	41486
23	675	41555
24	703	41517
25	727	41261
26	755	41235
27	782	41162
28	809	41079
29	838	41100
30	868	41135
31	896	41111
32	923	41063
33	951	41015
34	979	41003
35	1008	41009
36	1035	40942
37	1063	40913
38	1090	40851
39	1122	40983
40	1156	41156
41	1194	41460
42	1230	41685
43	1257	41627
44	1285	41570
45	1318	41676
46	1361	42078
47	1402	42431
48	1433	42454
49	1461	42382
50	1489	42305
51	1518	42280
52	1547	42236
53	1574	42161
54	1601	42081
55	1630	42039
56	1664	42142
57	1693	42103
58	1720	42017
59	1749	41978
60	1776	41910
61	1807	41913
62	1834	41843
63	1866	41881
64	1893	41797
65	1922	41766
66	1949	41699
67	1977	41653
68	2005	41601
69	2034	41569
70	2064	41550
71	2090	41469
72	2117	41388
73	2143	41296
74	2170	41239
75	2199	41207
76	2226	41155
77	2253	41077
78	2281	41044
79	2307	40966
80	2336	40929
81	2363	40869
82	2392	40840
83	2420	40800
84	2449	40774
85	2478	40753
86	2506	40701
87	2534	40663
88	2564	40663
89	2593	40626
90	2620	40576
91	2646	40510
92	2674	40462
93	2702	40424
94	2733	40422
95	2763	40411
96	2791	40382
97	2823	40393
98	2853	40382
99	2880	40332
100	2909	40297
101	2936	40241
102	2963	40192
103	2988	40120
104	3016	40070
105	3045	40047
106	3071	39981
107	3099	39944
108	3126	39899
109	3153	39847
110	3182	39826
111	3211	39794
112	3236	39729
113	3263	39681
114	3293	39659
115	3321	39625
116	3348	39583
117	3375	39531
118	3405	39521
119	3433	39481
120	3462	39460
121	3488	39401
122	3516	39372
123	3546	39356
124	3575	39332
125	3601	39273
126	3628	39223
127	3654	39167
128	3681	39123
129	3707	39070
130	3734	39026
131	3764	39014
132	3790	38962
133	3818	38922
134	3847	38903
135	3872	38840
136	3902	38828
137	3929	38777
138	3957	38748
139	3984	38707
140	4011	38667
141	4036	38604
142	4065	38577
143	4094	38551
144	4124	38540
145	4152	38506
146	4179	38471
147	4206	38427
148	4233	38384
149	4261	38356
150	4290	38329
151	4317	38289
152	4345	38255
153	4375	38239
154	4402	38200
155	4431	38179
156	4457	38128
157	4485	38094
158	4513	38066
159	4541	38031
160	4566	37977
161	4594	37950
162	4620	37902
163	4648	37867
164	4678	37854
165	4706	37825
166	4739	37828
167	4768	37806
168	4795	37764
169	4819	37708
170	4848	37680
171	4876	37650
172	4901	37600
173	4930	37570
174	4956	37528
175	4985	37501
176	5018	37509
177	5047	37489
178	5075	37454
179	5101	37411
180	5128	37370
181	5158	37353
182	5184	37312
183	5211	37274
184	5241	37257
185	5271	37238
186	5298	37203
187	5326	37171
188	5354	37141
189	5380	37095
190	5408	37069
191	5436	37037
192	5465	37011
193	5495	36996
194	5521	36953
195	5549	36922
196	5576	36881
197	5604	36855
198	5633	36826
199	5660	36795
200	5690	36774
201	5717	36741
202	5744	36699
203	5773	36677
204	5801	36649
205	5829	36619
206	5858	36595
207	5887	36572
208	5915	36542
209	5943	36511
210	5970	36475
211	5999	36447
212	6028	36423
213	6056	36394
214	6083	36362
215	6109	36319
216	6138	36295
217	6167	36268
218	6195	36242
219	6223	36209
220	6248	36164
221	6276	36132
222	6305	36110
223	6333	36076
224	6360	36043
225	6388	36014
226	6417	35988
227	6444	35954
228	6470	35915
229	6497	35876
230	6526	35851
231	6556	35835
232	6585	35813
233	6614	35786
234	6641	35751
235	6668	35713
236	6694	35676
237	6723	35648
238	6749	35611
239	6776	35578
240	6804	35547
241	6831	35510
242	6856	35467
243	6882	35430
244	6915	35425
