iter	Passed	Remaining
0	46	70342
1	84	63029
2	123	61582
3	166	62267
4	212	63556
5	254	63299
6	296	63318
7	340	63468
8	376	62367
9	418	62328
10	463	62742
11	502	62312
12	543	62165
13	582	61788
14	621	61506
15	659	61147
16	697	60883
17	733	60417
18	770	60020
19	806	59646
20	846	59618
21	887	59624
22	933	59956
23	974	59904
24	1021	60273
25	1066	60480
26	1110	60588
27	1162	61090
28	1232	62524
29	1286	63058
30	1340	63519
31	1391	63841
32	1446	64302
33	1503	64842
34	1557	65186
35	1603	65206
36	1651	65319
37	1701	65473
38	1748	65519
39	1793	65448
40	1834	65297
41	1883	65390
42	1932	65490
43	1980	65533
44	2026	65532
45	2072	65512
46	2120	65566
47	2174	65792
48	2227	65950
49	2273	65921
50	2323	66005
51	2368	65954
52	2414	65922
53	2464	66000
54	2512	66017
55	2559	66008
56	2614	66181
57	2663	66228
58	2719	66414
59	2769	66461
60	2813	66375
61	2861	66368
62	2948	67258
63	3015	67665
64	3140	69341
65	3202	69584
66	3264	69815
67	3340	70354
68	3411	70757
69	3479	71075
70	3546	71377
71	3605	71514
72	3663	71609
73	3715	71590
74	3766	71564
75	3821	71603
76	3869	71503
77	3916	71408
78	3967	71362
79	4020	71357
80	4204	73651
81	4294	74254
82	4348	74237
83	4408	74306
84	4510	75081
85	4666	76725
86	4741	77002
87	4802	77064
88	4855	76973
89	4928	77218
90	5011	77600
91	5063	77491
92	5117	77429
93	5198	77757
94	5296	78337
95	5359	78384
96	5430	78546
97	5500	78697
98	5555	78623
99	5618	78658
100	5694	78876
101	5764	79005
102	5825	79015
103	5889	79056
104	5963	79222
105	6014	79091
106	6086	79233
107	6137	79108
108	6210	79259
109	6273	79277
110	6353	79506
111	6426	79643
112	6480	79539
113	6529	79389
114	6580	79248
115	6630	79105
116	6680	78963
117	6732	78845
118	6773	78603
119	6822	78462
120	6866	78250
121	6910	78059
122	6954	77854
123	7005	77741
124	7066	77730
125	7118	77626
126	7165	77463
127	7211	77300
128	7260	77165
129	7305	76993
130	7354	76862
131	7398	76670
132	7452	76600
133	7509	76546
134	7560	76441
135	7614	76367
136	7663	76242
137	7715	76152
138	7767	76054
139	7821	75980
140	7876	75918
141	7923	75777
142	7973	75662
143	8025	75575
144	8071	75429
145	8121	75322
146	8165	75154
147	8218	75075
148	8267	74965
149	8319	74871
150	8367	74757
151	8416	74642
152	8462	74503
153	8506	74347
154	8557	74257
155	8607	74159
156	8657	74055
157	8708	73964
158	8755	73841
159	8802	73718
160	8853	73632
161	8904	73540
162	8958	73481
163	9006	73366
164	9057	73282
165	9103	73156
166	9153	73062
167	9206	72992
168	9255	72895
169	9307	72817
170	9366	72798
171	9426	72782
172	9483	72740
173	9539	72701
174	9592	72631
175	9642	72536
176	9693	72453
177	9787	72694
178	9857	72747
179	9905	72640
180	9960	72582
181	10007	72471
182	10057	72377
183	10111	72316
184	10159	72213
185	10205	72095
186	10248	71959
187	10300	71885
188	10346	71771
189	10398	71696
190	10447	71599
191	10496	71508
192	10547	71424
193	10593	71312
194	10640	71211
195	10686	71099
196	10735	71007
197	10791	70962
198	10845	70901
199	10894	70817
200	10940	70702
201	10992	70635
202	11040	70537
203	11088	70442
204	11136	70347
205	11187	70273
206	11238	70202
207	11287	70113
208	11339	70046
209	11390	69971
210	11440	69892
211	11486	69785
212	11528	69655
213	11581	69598
214	11632	69523
215	11676	69412
216	11731	69362
217	11781	69281
218	11825	69172
219	11871	69069
220	11921	68995
221	11966	68885
222	12012	68789
223	12058	68692
224	12110	68623
225	12158	68542
226	12217	68515
227	12266	68433
228	12308	68314
229	12355	68224
230	12404	68141
231	12448	68035
232	12499	67969
233	12546	67879
234	12600	67829
235	12650	67753
236	12690	67627
237	12736	67538
238	12779	67425
239	12828	67348
240	12873	67252
241	12923	67183
242	12975	67118
243	13026	67055
244	13079	66998
245	13127	66918
246	13175	66835
247	13224	66761
248	13266	66653
249	13318	66591
250	13397	66667
251	13446	66590
252	13492	66503
253	13534	66394
254	13578	66296
255	13629	66231
256	13684	66184
257	13734	66117
258	13779	66026
259	13831	65963
260	13876	65875
261	13923	65791
262	13972	65717
263	14040	65736
264	14090	65667
265	14136	65581
266	14178	65477
267	14228	65406
268	14274	65324
269	14325	65260
270	14373	65183
271	14423	65118
272	14475	65060
273	14523	64986
274	14572	64914
275	14624	64856
276	14674	64791
277	14721	64710
278	14766	64621
279	14813	64545
280	14865	64486
281	14912	64408
282	14959	64330
283	15008	64262
284	15057	64194
285	15103	64109
286	15154	64051
287	15207	63997
288	15257	63934
289	15310	63881
290	15356	63798
291	15403	63723
292	15453	63658
293	15500	63584
294	15557	63546
295	15605	63475
296	15658	63426
297	15711	63374
298	15758	63296
299	15802	63210
300	15853	63149
301	15899	63070
302	15953	63023
303	15999	62945
304	16046	62870
305	16097	62813
306	16149	62757
307	16205	62718
308	16257	62662
309	16305	62591
310	16352	62518
311	16396	62434
312	16446	62369
313	16496	62307
314	16544	62236
315	16590	62161
316	16638	62093
317	16683	62010
318	16734	61953
319	16777	61867
320	16826	61803
321	16873	61730
322	16922	61664
323	16978	61626
324	17036	61593
325	17097	61573
326	17161	61560
327	17207	61484
328	17262	61442
329	17312	61379
330	17363	61324
331	17417	61276
332	17469	61220
333	17519	61162
334	17568	61094
335	17620	61041
336	17671	60983
337	17720	60921
338	17770	60859
339	17818	60791
340	17867	60727
341	17922	60685
342	17964	60599
343	18017	60546
344	18069	60493
345	18119	60434
346	18174	60390
347	18219	60313
348	18266	60243
349	18314	60177
350	18366	60123
351	18421	60079
352	18469	60012
353	18526	59975
354	18573	59907
355	18624	59848
356	18675	59792
357	18726	59737
358	18774	59671
359	18833	59637
360	18887	59592
361	18936	59530
362	18994	59496
363	19039	59419
364	19091	59367
365	19146	59322
366	19196	59264
367	19241	59189
368	19288	59118
369	19335	59052
370	19383	58985
371	19436	58936
372	19489	58886
373	19532	58807
374	19581	58743
375	19627	58674
376	19675	58608
377	19726	58552
378	19774	58489
379	19835	58461
380	19884	58401
381	19932	58336
382	19976	58259
383	20027	58205
384	20076	58144
385	20130	58096
386	20186	58056
387	20236	57996
388	20284	57934
389	20342	57897
390	20393	57841
391	20441	57779
392	20492	57722
393	20537	57649
394	20581	57574
395	20632	57521
396	20691	57487
397	20743	57434
398	20793	57376
399	20845	57324
400	20893	57262
401	20941	57198
402	20988	57132
403	21041	57081
404	21094	57032
405	21138	56960
406	21196	56923
407	21244	56860
408	21295	56805
409	21348	56754
410	21398	56697
411	21452	56651
412	21505	56602
413	21550	56530
414	21593	56455
415	21644	56400
416	21694	56342
417	21746	56292
418	21788	56213
419	21842	56166
420	21892	56108
421	21944	56056
422	21996	56004
423	22049	55956
424	22102	55906
425	22159	55867
426	22210	55812
427	22266	55771
428	22308	55693
429	22357	55633
430	22413	55591
431	22459	55524
432	22505	55457
433	22555	55401
434	22613	55364
435	22661	55301
436	22705	55229
437	22748	55158
438	22797	55097
439	22840	55025
440	22889	54966
441	22936	54902
442	22990	54856
443	23043	54806
444	23098	54761
445	23147	54702
446	23193	54636
447	23243	54579
448	23293	54524
449	23335	54450
450	23390	54404
451	23440	54348
452	23490	54292
453	23535	54224
454	23583	54163
455	23639	54122
456	23690	54068
457	23746	54025
458	23795	53968
459	23844	53908
460	23899	53865
461	23942	53793
462	23995	53743
463	24042	53681
464	24090	53620
465	24138	53560
466	24189	53507
467	24239	53451
468	24286	53389
469	24343	53347
470	24394	53294
471	24444	53238
472	24491	53176
473	24535	53108
474	24588	53058
475	24639	53006
476	24691	52954
477	24737	52890
478	24784	52829
479	24833	52772
480	24882	52714
481	24940	52675
482	24990	52620
483	25043	52571
484	25096	52521
485	25153	52480
486	25216	52453
487	25265	52394
488	25318	52345
489	25377	52308
490	25437	52274
491	25495	52234
492	25558	52205
493	25614	52162
494	25672	52123
495	25734	52091
496	25804	52075
497	25863	52038
498	25918	51993
499	25970	51940
500	26023	51890
501	26073	51835
502	26121	51775
503	26174	51726
504	26222	51665
505	26272	51610
506	26321	51552
507	26373	51501
508	26418	51434
509	26464	51373
510	26516	51319
511	26563	51258
512	26619	51214
513	26664	51149
514	26706	51079
515	26748	51009
516	26799	50955
517	26857	50915
518	26907	50860
519	26958	50806
520	27006	50748
521	27054	50687
522	27111	50645
523	27165	50598
524	27211	50535
525	27259	50475
526	27308	50420
527	27360	50367
528	27423	50336
529	27475	50286
530	27526	50232
531	27584	50190
532	27632	50133
533	27686	50084
534	27734	50025
535	27787	49975
536	27832	49911
537	27880	49853
538	27928	49794
539	27980	49742
540	28033	49693
541	28082	49637
542	28135	49587
543	28197	49552
544	28246	49496
545	28299	49446
546	28350	49392
547	28401	49339
548	28453	49287
549	28501	49230
550	28554	49179
551	28598	49115
552	28648	49059
553	28699	49007
554	28749	48951
555	28803	48903
556	28849	48841
557	28904	48795
558	28954	48740
559	29007	48691
560	29058	48637
561	29108	48582
562	29162	48535
563	29211	48478
564	29256	48415
565	29304	48356
566	29357	48307
567	29402	48244
568	29453	48192
569	29499	48130
570	29550	48077
571	29595	48015
572	29644	47959
573	29695	47905
574	29749	47858
575	29797	47800
576	29852	47753
577	29904	47702
578	29950	47641
579	30001	47588
580	30051	47534
581	30097	47473
582	30144	47413
583	30188	47350
584	30232	47287
585	30281	47231
586	30328	47171
587	30377	47115
588	30425	47058
589	30482	47015
590	30530	46958
591	30585	46911
592	30632	46853
593	30678	46792
594	30733	46746
595	30783	46691
596	30828	46630
597	30881	46580
598	30927	46520
599	30982	46473
600	31030	46417
601	31078	46359
602	31130	46308
603	31183	46258
604	31228	46197
605	31272	46135
606	31323	46081
607	31370	46023
608	31419	45968
609	31471	45917
610	31521	45863
611	31571	45810
612	31624	45759
613	31669	45698
614	31725	45653
615	31774	45598
616	31825	45545
617	31869	45483
618	31918	45428
619	31965	45369
620	32013	45313
621	32064	45261
622	32115	45209
623	32205	45210
624	32253	45154
625	32296	45091
626	32343	45033
627	32398	44986
628	32449	44933
629	32490	44868
630	32545	44821
631	32592	44762
632	32644	44711
633	32691	44654
634	32742	44601
635	32787	44541
636	32843	44496
637	32903	44455
638	32958	44409
639	33017	44366
640	33070	44317
641	33117	44260
642	33173	44213
643	33222	44159
644	33280	44115
645	33336	44070
646	33385	44014
647	33438	43965
648	33486	43908
649	33536	43854
650	33591	43808
651	33642	43756
652	33697	43708
653	33752	43662
654	33806	43612
655	33863	43568
656	33918	43521
657	33976	43477
658	34026	43423
659	34083	43378
660	34135	43327
661	34191	43281
662	34247	43235
663	34307	43194
664	34360	43144
665	34416	43098
666	34468	43046
667	34530	43008
668	34600	42979
669	34668	42946
670	34736	42916
671	34804	42883
672	34908	42896
673	34976	42864
674	35028	42812
675	35083	42765
676	35135	42712
677	35183	42656
678	35232	42601
679	35284	42548
680	35333	42493
681	35388	42445
682	35438	42390
683	35486	42335
684	35530	42273
685	35580	42219
686	35630	42164
687	35686	42117
688	35737	42065
689	35788	42013
690	35847	41969
691	35899	41917
692	35946	41859
693	35992	41801
694	36037	41741
695	36088	41688
696	36138	41634
697	36188	41580
698	36242	41531
699	36294	41479
700	36347	41428
701	36394	41371
702	36453	41327
703	36504	41274
704	36550	41216
705	36598	41160
706	36644	41101
707	36699	41053
708	36749	40999
709	36804	40951
710	36855	40898
711	36903	40842
712	36958	40794
713	37009	40741
714	37057	40685
715	37106	40630
716	37164	40585
717	37216	40534
718	37268	40482
719	37314	40424
720	37361	40367
721	37409	40311
722	37462	40260
723	37519	40214
724	37568	40159
725	37620	40108
726	37672	40055
727	37718	39997
728	37762	39937
729	37811	39883
730	37859	39827
731	37912	39776
732	37960	39721
733	38013	39670
734	38068	39622
735	38113	39563
736	38163	39509
737	38216	39459
738	38269	39409
739	38328	39364
740	38382	39315
741	38428	39257
742	38475	39200
743	38525	39146
