iter	Passed	Remaining
0	2740	4108542
1	5275	3951543
2	7982	3983368
3	10524	3936068
4	13043	3899864
5	15666	3900892
6	18189	3879523
7	20739	3867885
8	23391	3875160
9	25968	3869260
10	28657	3879227
11	31429	3897248
12	34017	3891105
13	36514	3875790
14	39080	3868943
15	41589	3857426
16	44084	3845700
17	46661	3841808
18	49137	3830109
19	51629	3820612
20	54092	3809662
21	56554	3799433
22	59016	3789854
23	61466	3780191
24	63916	3771100
25	66358	3761990
26	68817	3754359
27	71253	3745907
28	73694	3738075
29	76133	3730559
30	78590	3724194
31	81033	3717404
32	83475	3710847
33	85912	3704342
34	88338	3697609
35	90800	3692540
36	93230	3686392
37	95653	3680153
38	98075	3674068
39	100491	3667936
40	102907	3662000
41	105322	3656211
42	107730	3650322
43	110139	3644615
44	112566	3639665
45	114966	3633948
46	117367	3628391
47	119756	3622634
48	122155	3617286
49	124560	3612246
50	126955	3607028
51	129355	3602062
52	131761	3597329
53	134163	3592609
54	136577	3588261
55	138985	3583842
56	141391	3579438
57	143836	3576082
58	146252	3572027
59	148720	3569299
60	151193	3566670
61	153621	3563035
62	156024	3558840
63	158427	3554723
64	160834	3550724
65	163237	3546702
66	165680	3543582
67	168226	3542656
68	170639	3538920
69	173047	3535108
70	175459	3531428
71	177884	3528037
72	180293	3524361
73	182707	3520814
74	185118	3517246
75	187572	3514518
76	189998	3511275
77	192406	3507710
78	194809	3504104
79	197220	3500659
80	199651	3497606
81	202094	3494749
82	204503	3491335
83	206910	3487918
84	209311	3484416
85	211870	3483538
86	214301	3480557
87	216716	3477318
88	219149	3474384
89	221572	3471307
90	223983	3468048
91	226432	3465409
92	228870	3462588
93	231294	3459574
94	233721	3456613
95	236147	3453664
96	238576	3450754
97	241011	3447936
98	243442	3445081
99	245885	3442395
100	248313	3439514
101	250744	3436680
102	253167	3433733
103	255585	3430740
104	258019	3427970
105	260436	3424989
106	262874	3422277
107	265289	3419289
108	267733	3416668
109	270357	3416341
110	273120	3417702
111	275543	3414775
112	277963	3411812
113	280384	3408888
114	282810	3406018
115	285260	3403448
116	287690	3400643
117	290128	3397945
118	292583	3395439
119	295006	3392580
120	297424	3389658
121	299844	3386769
122	302275	3384011
123	304696	3381153
124	307144	3378591
125	309562	3375709
126	311988	3372916
127	314401	3369992
128	316831	3367253
129	319243	3364337
130	321659	3361468
131	324086	3358714
132	326519	3356031
133	328929	3353113
134	331394	3350768
135	333813	3347950
136	336282	3345644
137	338716	3342981
138	341129	3340126
139	343570	3337543
140	346050	3335334
141	348520	3333034
