iter	Passed	Remaining
0	37	56207
1	76	57273
2	112	55902
3	144	54173
4	180	53964
5	212	53003
6	245	52394
7	278	51947
8	312	51819
9	352	52590
10	385	52164
11	418	51871
12	450	51484
13	488	51860
14	525	51996
15	559	51910
16	593	51810
17	630	51895
18	666	51959
19	703	52051
20	739	52107
21	771	51833
22	807	51857
23	844	51925
24	881	51982
25	917	52033
26	950	51841
27	992	52174
28	1036	52562
29	1072	52551
30	1109	52557
31	1147	52645
32	1186	52724
33	1221	52649
34	1256	52588
35	1293	52589
36	1327	52490
37	1359	52302
38	1394	52230
39	1429	52171
40	1464	52111
41	1500	52094
42	1535	52013
43	1574	52098
44	1608	52005
45	1645	52024
46	1681	51976
47	1718	51991
48	1757	52036
49	1790	51934
50	1826	51890
51	1859	51776
52	1892	51676
53	1931	51726
54	1966	51677
55	2003	51660
56	2038	51606
57	2075	51596
58	2113	51623
59	2149	51582
60	2184	51526
61	2222	51553
62	2266	51693
63	2301	51649
64	2339	51648
65	2373	51580
66	2405	51451
67	2438	51355
68	2472	51278
69	2505	51187
70	2538	51092
71	2569	50959
72	2602	50879
73	2635	50794
74	2672	50776
75	2705	50692
76	2741	50658
77	2773	50557
78	2806	50479
79	2843	50477
80	2879	50441
81	2914	50406
82	2951	50387
83	3005	50656
84	3083	51329
85	3119	51293
86	3154	51239
87	3188	51153
88	3222	51081
89	3260	51085
90	3293	50992
91	3329	50958
92	3362	50868
93	3397	50815
94	3432	50759
95	3465	50676
96	3500	50635
97	3533	50553
98	3567	50484
99	3601	50424
100	3635	50355
101	3670	50313
102	3706	50265
103	3743	50247
104	3778	50195
105	3811	50118
106	3846	50072
107	3879	50002
108	3913	49940
109	3948	49897
110	3982	49834
111	4019	49811
112	4057	49807
113	4093	49773
114	4128	49718
115	4162	49666
116	4201	49659
117	4235	49602
118	4267	49527
119	4300	49461
120	4339	49453
121	4374	49405
122	4407	49340
123	4441	49281
124	4473	49205
125	4506	49142
126	4542	49108
127	4575	49048
128	4610	49003
129	4644	48944
130	4681	48923
131	4716	48876
132	4751	48831
133	4785	48781
134	4820	48744
135	4852	48663
136	4883	48588
137	4917	48534
138	4949	48463
139	4984	48416
140	5016	48354
141	5045	48255
142	5081	48219
143	5112	48146
144	5145	48086
145	5179	48033
146	5211	47968
147	5246	47924
148	5279	47870
149	5315	47835
150	5347	47771
151	5382	47738
152	5416	47686
153	5455	47679
154	5491	47648
155	5524	47592
156	5560	47568
157	5593	47508
158	5626	47457
159	5663	47428
160	5696	47377
161	5731	47341
162	5768	47314
163	5806	47298
164	5843	47276
165	5877	47233
166	5912	47196
167	5946	47149
168	5979	47090
169	6013	47050
170	6047	47003
171	6080	46948
172	6116	46916
173	6151	46877
174	6186	46841
175	6222	46810
176	6259	46784
177	6292	46737
178	6327	46692
179	6362	46660
180	6397	46618
181	6434	46600
182	6467	46546
183	6500	46491
184	6534	46446
185	6566	46387
186	6600	46345
187	6639	46333
188	6674	46294
189	6708	46251
190	6742	46208
191	6784	46218
192	6825	46221
193	6857	46165
194	6888	46097
195	6925	46074
196	6972	46115
197	7022	46179
198	7076	46262
199	7114	46243
200	7148	46201
201	7181	46148
202	7212	46080
203	7248	46050
204	7282	46007
205	7317	45965
206	7351	45922
207	7390	45903
208	7423	45853
209	7455	45796
210	7487	45743
211	7519	45682
212	7552	45633
213	7584	45580
214	7620	45546
215	7655	45507
216	7690	45472
217	7723	45418
218	7756	45368
219	7786	45302
220	7819	45253
221	7853	45212
222	7899	45238
223	7935	45206
224	7971	45170
225	8007	45139
226	8041	45096
227	8073	45040
228	8107	44997
229	8136	44928
230	8172	44893
231	8207	44858
232	8242	44820
233	8277	44784
234	8309	44727
235	8342	44683
236	8376	44641
237	8409	44593
238	8443	44550
239	8477	44506
240	8511	44463
241	8544	44418
242	8582	44394
243	8614	44343
244	8646	44289
245	8678	44240
246	8712	44195
247	8748	44165
248	8780	44116
249	8814	44072
250	8845	44014
251	8876	43959
252	8910	43919
253	8945	43880
254	8982	43857
255	9014	43804
256	9047	43758
257	9080	43713
258	9116	43682
259	9153	43655
260	9185	43605
261	9220	43566
262	9251	43515
263	9286	43477
264	9325	43459
265	9362	43433
266	9398	43403
267	9432	43361
268	9468	43330
269	9501	43285
270	9533	43234
271	9566	43190
272	9599	43142
273	9632	43098
274	9665	43056
275	9700	43018
276	9734	42981
277	9773	42963
278	9809	42928
279	9841	42882
280	9875	42840
281	9910	42806
282	9944	42766
283	9980	42731
284	10015	42699
285	10050	42661
286	10084	42622
287	10121	42594
288	10158	42566
289	10193	42529
290	10229	42497
291	10263	42459
292	10295	42412
293	10330	42376
294	10365	42342
295	10400	42304
296	10435	42267
297	10471	42238
298	10502	42187
299	10536	42144
300	10572	42116
301	10605	42071
302	10642	42042
303	10696	42080
304	10780	42240
305	10822	42227
306	10855	42186
307	10891	42151
308	10922	42099
309	10959	42069
310	10995	42038
311	11036	42022
312	11071	41986
313	11111	41970
314	11183	42069
315	11223	42051
316	11259	42019
317	11313	42052
318	11354	42036
319	11394	42015
320	11433	41994
321	11474	41979
322	11508	41936
323	11544	41900
324	11579	41862
325	11615	41829
326	11649	41787
327	11688	41764
328	11722	41725
329	11760	41696
330	11800	41676
331	11839	41653
332	11876	41621
333	11909	41577
334	11946	41546
335	11983	41513
336	12024	41497
337	12063	41472
338	12113	41485
339	12149	41450
340	12183	41409
341	12218	41370
342	12253	41331
343	12288	41296
344	12322	41252
345	12356	41211
346	12390	41170
347	12423	41125
348	12459	41091
349	12495	41055
350	12529	41015
351	12564	40978
352	12598	40935
353	12630	40889
354	12668	40859
355	12704	40824
356	12737	40781
357	12774	40750
358	12809	40711
359	12841	40663
360	12874	40620
361	12907	40576
362	12943	40541
363	12976	40497
364	13012	40463
365	13043	40413
366	13079	40380
367	13117	40349
368	13152	40312
369	13187	40276
370	13223	40240
371	13257	40198
372	13291	40159
373	13322	40110
374	13356	40070
375	13391	40030
376	13427	39998
377	13462	39959
378	13499	39927
379	13530	39880
380	13566	39845
381	13603	39813
382	13637	39774
383	13671	39733
384	13704	39690
385	13737	39647
386	13770	39604
387	13803	39561
388	13843	39537
389	13876	39495
390	13910	39453
391	13946	39419
392	13979	39377
393	14015	39342
394	14051	39309
395	14089	39280
396	14123	39238
397	14154	39191
398	14192	39161
399	14230	39133
400	14269	39107
401	14309	39084
402	14348	39056
403	14389	39037
404	14430	39016
405	14468	38987
406	14503	38949
407	14541	38919
408	14576	38881
409	14609	38839
410	14643	38799
411	14679	38764
412	14714	38728
413	14747	38685
414	14779	38639
415	14814	38602
416	14847	38560
417	14880	38518
418	14918	38489
419	14950	38444
420	14985	38408
421	15022	38374
422	15057	38338
423	15091	38298
424	15124	38257
425	15161	38224
426	15194	38181
427	15224	38133
428	15263	38104
429	15301	38076
430	15340	38048
431	15373	38006
432	15407	37967
433	15444	37934
434	15480	37901
435	15516	37864
436	15553	37833
437	15589	37798
438	15622	37756
439	15661	37729
440	15697	37694
441	15734	37662
442	15772	37633
443	15812	37607
444	15847	37570
445	15883	37537
446	15921	37505
447	15957	37471
448	15993	37436
449	16030	37405
450	16067	37371
451	16104	37338
452	16136	37296
453	16174	37264
454	16210	37230
455	16245	37193
456	16288	37174
457	16322	37135
458	16356	37095
459	16388	37051
460	16422	37011
461	16455	36972
462	16491	36937
463	16527	36901
464	16563	36866
465	16599	36832
466	16634	36795
467	16667	36755
468	16702	36716
469	16735	36675
470	16769	36636
471	16805	36601
472	16838	36560
473	16873	36524
474	16917	36506
475	16954	36474
476	16993	36446
477	17033	36418
478	17067	36379
479	17104	36347
480	17140	36313
481	17176	36277
482	17213	36243
483	17249	36208
484	17287	36178
485	17325	36148
486	17359	36109
487	17398	36081
488	17434	36045
489	17467	36003
490	17500	35962
491	17528	35912
492	17562	35873
493	17594	35829
494	17626	35787
495	17659	35745
496	17692	35706
497	17725	35663
498	17766	35639
499	17805	35610
500	17838	35570
501	17875	35536
502	17909	35499
503	17946	35465
504	17981	35429
505	18018	35395
506	18056	35365
507	18093	35331
508	18124	35288
509	18160	35252
510	18198	35221
511	18232	35183
512	18267	35146
513	18305	35114
514	18340	35077
515	18372	35035
516	18405	34995
517	18439	34956
518	18474	34920
519	18506	34878
520	18541	34841
521	18574	34801
522	18609	34764
523	18641	34722
524	18675	34683
525	18711	34648
526	18747	34612
527	18780	34573
528	18812	34530
529	18845	34490
530	18881	34455
531	18913	34414
532	18949	34379
533	18983	34340
534	19020	34308
535	19056	34273
536	19089	34232
537	19122	34192
538	19156	34155
539	19192	34119
540	19222	34075
541	19257	34038
542	19288	33995
543	19323	33958
544	19360	33925
545	19394	33886
546	19429	33850
547	19461	33809
548	19495	33770
549	19530	33734
550	19564	33696
551	19597	33656
552	19634	33622
553	19665	33580
554	19697	33539
555	19734	33506
556	19767	33467
557	19806	33436
558	19838	33396
559	19869	33352
560	19904	33316
561	19941	33283
562	19980	33252
563	20014	33216
564	20048	33178
565	20082	33140
566	20122	33111
567	20160	33080
568	20202	33055
569	20243	33028
570	20283	33000
571	20330	32983
572	20372	32958
573	20406	32921
574	20439	32881
575	20472	32842
576	20506	32803
577	20546	32775
578	20579	32735
579	20614	32698
580	20648	32660
581	20681	32620
582	20716	32584
583	20751	32547
584	20785	32510
585	20820	32473
586	20854	32435
587	20887	32396
588	20917	32353
589	20951	32314
590	20985	32277
591	21019	32240
592	21054	32202
593	21088	32165
594	21126	32133
595	21160	32095
596	21193	32057
597	21226	32017
598	21264	31984
599	21298	31947
600	21329	31905
601	21363	31867
602	21399	31833
603	21432	31794
604	21473	31766
605	21512	31735
606	21546	31699
607	21583	31664
608	21616	31626
609	21652	31590
610	21685	31552
611	21717	31512
612	21754	31478
613	21785	31436
614	21820	31400
615	21851	31358
616	21884	31318
617	21913	31275
618	21952	31244
619	21987	31207
620	22019	31167
621	22054	31131
622	22085	31090
623	22120	31054
624	22152	31013
625	22187	30976
626	22221	30940
627	22257	30904
628	22288	30864
629	22324	30828
630	22356	30788
631	22392	30754
632	22426	30716
633	22462	30682
634	22497	30646
635	22532	30609
636	22567	30574
637	22601	30536
638	22635	30500
639	22672	30466
640	22704	30426
641	22738	30388
642	22771	30350
643	22803	30309
644	22840	30276
645	22874	30240
646	22911	30206
647	22945	30169
648	22980	30133
649	23016	30098
650	23048	30059
651	23081	30019
652	23116	29983
653	23150	29947
654	23185	29910
655	23220	29874
656	23250	29833
657	23287	29799
658	23321	29762
659	23352	29720
660	23384	29682
661	23419	29646
662	23453	29609
663	23490	29575
664	23530	29545
665	23564	29509
666	23601	29474
667	23637	29440
668	23671	29403
669	23702	29363
670	23737	29327
671	23770	29288
672	23804	29251
673	23839	29216
674	23876	29182
675	23912	29147
676	23946	29110
677	23982	29076
678	24016	29038
679	24052	29004
680	24085	28966
681	24117	28927
682	24152	28890
683	24185	28853
684	24219	28815
685	24251	28776
686	24285	28739
687	24318	28702
688	24349	28661
689	24384	28625
690	24417	28587
691	24453	28552
692	24483	28510
693	24515	28472
694	24549	28434
695	24584	28398
696	24620	28365
697	24654	28327
698	24688	28291
699	24725	28257
700	24756	28217
701	24790	28180
702	24825	28145
703	24857	28106
704	24894	28072
705	24933	28041
706	24967	28004
707	25001	27968
708	25034	27929
709	25069	27894
710	25103	27857
711	25137	27821
712	25169	27782
713	25203	27745
714	25241	27712
715	25274	27675
716	25312	27642
717	25343	27602
718	25379	27568
719	25413	27531
720	25448	27495
721	25481	27457
722	25516	27422
723	25549	27384
724	25583	27348
725	25617	27310
726	25651	27274
727	25683	27235
728	25717	27199
729	25749	27159
730	25781	27121
731	25813	27083
732	25848	27047
733	25884	27013
734	25917	26975
735	25952	26939
